Trinket,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Arcanogolem Digit,77310,79504,81880,89368,91575,96599,99464,105430,111311,117401,122849,130210,135016,142613,147768,154336,0,0,0
Golganneth's Vitality 15-Pantheon,0,0,0,0,0,0,142847,151938,156938,164516,172366,183048,190468,200359,210152,220182,229148,241333,251779
Entwined Elemental Foci,87159,91192,95683,99145,103686,107481,111984,115905,121324,126404,132983,135290,142214,150633,155548,162459,0,0,0
Draught of Souls,50611,54169,58868,60724,66021,69597,73530,77553,81753,86330,91233,97461,102758,109157,113400,118797,0,0,0
Bloodstained Handkerchief,73393,77924,83419,84650,89863,95595,98415,103453,109634,113095,118800,125870,130352,139563,143626,151882,0,0,0
Nightblooming Frond,88482,94818,97785,103040,105805,111299,117291,123885,127311,137465,142251,148428,154734,164813,171800,182398,0,0,0
Gorshalach's Legacy,0,69021,70295,73703,76342,79483,83947,87916,89376,91585,95835,100564,105189,106605,110905,116840,0,0,0
Void Stalker's Contract,76679,77147,84739,86020,93329,96143,101409,105918,110124,116448,121936,127215,133504,139733,147166,153960,0,0,0
Tome of Unraveling Sanity,81495,85204,90024,93410,99099,102756,105053,110400,114963,121646,125668,133479,137823,145197,152314,156851,0,0,0
Six-Feather Fan,84424,90282,92473,97675,99955,107862,112054,117472,121687,129272,133937,140071,149386,154036,162357,170440,0,0,0
Convergence of Fates,102582,105340,108429,113181,116990,121321,123327,131814,135137,144052,145319,155052,160776,165926,175517,180085,0,0,0
Hunger of the Pack,91260,94078,97468,102048,106781,109997,113966,118545,124657,129320,133787,140004,145832,153004,158808,165357,0,0,0
Bloodthirsty Instict,88322,93791,95935,101846,104289,107881,113017,117915,121871,127758,132819,137083,144384,148475,157308,163421,0,0,0
Seeping Scourgewing,0,98874,102461,105474,110098,116660,120985,123749,128782,133455,140808,147531,153155,157304,164168,173876,0,0,0
Cradle of Anguish,94904,99511,102660,106034,111746,116593,120221,125213,128014,137126,140268,146881,153311,160447,167048,174149,0,0,0
Spiked Counterweight,42212,41407,45443,46241,48041,49426,49358,50908,52905,55410,57530,59190,61300,63708,63925,63581,0,0,0
Memento of Angerboda,88011,92460,94502,97432,103223,107728,112004,118774,121962,126670,130693,136796,142502,149026,154116,164834,0,0,0
Spontaneous Appendages,46312,48404,48188,49167,51258,53616,54177,56590,59856,61624,62865,67772,67763,69971,73218,77226,0,0,0
Stat Haste,88941,89570,93754,99828,100494,105883,110431,114480,121745,124588,129729,134402,140485,145986,153135,159476,0,0,0
Stat Crit,91549,94142,96534,101921,105266,110633,113485,118170,123284,127461,135622,139357,145243,152910,158080,165502,0,0,0
Ravaged Seed Pod,35916,35290,38283,38686,40198,41396,41192,43085,45663,44950,47206,48412,50018,51948,54244,55047,0,0,0
Nightmare Egg Shell,80131,82226,84682,89351,93454,98338,102004,107465,111349,114970,120858,125440,132007,137891,142198,149314,0,0,0
Tempered Egg of Serpentrix,72578,77943,78890,83265,87405,89076,94861,98956,105345,107464,113469,120081,127766,132442,139861,145329,0,0,0
Windscar Whetstone,34832,35789,35553,37784,38304,37830,39409,39661,40969,43204,43827,45784,47285,49727,50489,51657,0,0,0
Infernal Cinders (3 Users),75614,79655,82213,83553,85908,90882,92130,97228,100808,105370,109146,112961,118824,123113,128680,132878,0,0,0
Tirathon's Betrayal,78393,82322,86508,90288,94374,98438,106043,109746,115443,118442,128683,131205,137490,144691,151238,157788,0,0,0
Stat Versatility,94113,95968,100744,104760,110755,113454,117089,123733,130444,133103,137458,143789,149818,156254,162466,171317,0,0,0
Vial of Ceaseless Toxins,88887,94186,98407,103581,106972,112038,118424,125664,130690,136806,143713,150387,157015,165488,172398,179893,0,0,0
Toe Knee's Promise,41511,38273,42316,44366,44959,44278,48794,50207,52929,51620,55331,55910,59526,60073,60423,63714,0,0,0
Nature's Call,46888,47343,48025,52020,51531,52783,52901,55042,55130,57258,58601,59607,61769,63381,64351,66722,0,0,0
Infernal Cinders,68485,72343,74827,76746,79256,80605,84734,88279,91956,96032,99160,104217,107249,111023,115166,120092,0,0,0
Stat Mastery,88667,93802,95618,98607,106030,109407,113244,117456,122198,125390,132875,137911,143176,149793,155814,162108,0,0,0
Tiny Oozeling in a Jar,34870,36848,39182,39049,40079,41937,43555,43851,48433,48650,49029,50084,52751,53448,56018,57739,0,0,0
Chrono Shard,79884,84260,87421,91746,95707,98384,103581,108412,113555,118025,122323,126636,132263,138285,143588,149580,0,0,0
Eye of Command,100752,106508,111173,115029,119840,122212,127253,132539,139683,144255,149719,154793,163383,166678,172533,182894,0,0,0
Shadow-singed Fang,0,97628,101774,104098,109841,114735,119191,123160,128941,133146,138439,143694,150943,155309,165776,170031,0,0,0
Umbral Moonglaives,71504,75393,75965,81975,83996,88149,90469,92992,97488,102862,105874,108880,111510,116883,122544,126760,0,0,0
Chaos Talisman,96739,98954,104599,106544,112142,116167,121138,125610,131933,136351,143663,150047,155617,161035,167393,177303,0,0,0
Specter of Betrayal,103748,106943,114137,118640,124700,131146,135851,143296,149853,157018,164429,174453,183922,191024,198935,206625,0,0,0
Terminus Signaling Beacon,0,36219,37557,38659,41046,38756,40890,42894,43675,43261,48036,48854,50543,49922,53623,54084,0,0,0
Faulty Countermeasure,48817,49232,52724,53290,55659,57569,59368,61958,64403,64661,67688,70283,71744,75959,77105,79033,0,0,0
Engine of Eradication (No Orbs),60472,61984,64477,67248,69708,71463,74879,78882,79766,83851,88208,91436,91936,96872,101100,105154,0,0,0
Specter of Betrayal (No Overlap),84036,87417,92929,96743,101464,105683,112239,115924,123284,128240,133788,144180,148900,154133,163324,171282,0,0,0
Horn of Valor,74772,74108,76992,80845,84023,87049,91494,93616,98404,101273,104521,109948,113771,118225,122574,127499,0,0,0
Aman'Thul's Vision 5-Pantheon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151267
Terrorbound Nexus,43295,45294,46176,46757,49423,49580,50439,53054,55284,56963,59657,60914,61053,64698,65669,68525,0,0,0
Unstable Arcanocrystal,91652,92482,94756,97679,99181,102219,102200,105380,108150,111066,113224,112602,115063,116034,119879,122023,0,0,0
Golganneth's Vitality 5-Pantheon,0,0,0,0,0,0,129228,136277,140685,152190,158097,164195,172960,180279,189788,198279,205767,215961,229190
Kiljaeden's Burning Wish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201560
Thrice Accursed Compass,88472,89270,93003,98589,102309,108275,111681,115448,120082,127173,131906,136442,140091,147737,152872,159208,0,0,0
Aman'Thul's Vision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129089
Mark of Dargrul,37613,40742,40569,41901,43530,45381,46952,47449,51621,50426,52715,54648,55850,58008,59603,60010,0,0,0
Forgefiend's Fabricator,0,64208,68919,70220,73780,75980,79179,83204,84311,89692,91744,93977,99310,101587,107328,110749,0,0,0
Engine of Eradication,91959,96242,99619,103151,107216,112569,116558,121416,125879,131857,136581,145824,149255,158532,162310,170356,0,0,0
Infernal Alchemist Stone,0,0,0,0,0,106340,0,0,0,0,0,0,0,0,0,0,0,0,0
Aman'Thul's Vision 15-Pantheon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188227
Golganneth's Vitality,0,0,0,0,0,0,125307,128631,135134,143095,149490,157600,167885,173838,180222,189731,197914,208917,218236
