Trinket,900,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Elementium Bomb Squirrel Generator,0,41084,42931,42461,43846,46330,46988,47644,47494,51990,51562,54617,53609,54336,58987,60238,59982,0,0,0
Eye of Skovald,0,50627,50414,52759,53272,52688,55235,57584,58978,61688,64551,66091,67357,68265,70362,74099,74775,0,0,0
Convergence of Fates,0,105921,108186,113348,114435,120460,121916,127417,131895,136891,141111,144579,151713,154456,162830,169014,174010,0,0,0
Splinters of Agronox,0,71174,72837,75605,80377,83219,86535,91996,94496,99892,101573,107089,112676,115907,121934,128172,134186,0,0,0
Naraxas Spiked Tongue,0,68283,70323,74422,76289,78495,81702,84351,84460,90166,91710,94829,99313,102170,105743,108146,111844,0,0,0
Caged Horror,0,51860,53767,54976,56731,58131,60063,59202,61948,64927,67162,69368,67093,71666,73056,73957,77351,0,0,0
Figurehead of the Naglfar,0,34931,33808,36575,36706,36548,38722,38312,40158,39622,40232,42394,44383,42943,45054,47716,44007,0,0,0
Oakhearts Gnarled Root,0,63007,64061,65047,68085,70120,71941,74365,79242,80671,83066,86155,89046,92290,94155,97247,103821,0,0,0
Entwined Elemental Foci,0,98436,101872,105483,109406,114440,117578,124091,126640,130568,137269,143513,149631,154910,159866,167575,173923,0,0,0
Obelisk of the Void,0,79288,83345,86344,90179,95441,96154,101082,104952,108305,112359,116612,121003,126247,132171,136423,140803,0,0,0
Unstable Horrorslime,0,41977,43630,44076,47243,47590,49855,50712,48896,51726,52088,52515,55453,56597,55605,57679,60569,0,0,0
Terror from Below,0,82192,83805,89555,91474,98372,98760,102859,108434,111927,116521,121373,125938,129905,135185,136982,144229,0,0,0
Tarnished Sentinel Medallion,0,92433,95732,98843,102400,106672,109031,113832,118395,122626,127080,132455,137527,141633,148577,153874,156250,0,0,0
PVP Insignia of Conquest,0,79800,83335,84962,88863,93218,97739,99464,102073,105665,112033,113963,121124,124873,131648,135441,139019,0,0,0
Moonlit Prism,0,64603,66993,73177,74222,76754,80362,85111,85182,89669,93230,95357,98683,102523,106070,109947,117074,0,0,0
Prototype Personnel Decimator,0,0,73477,77749,81310,82569,88630,89503,92759,96991,99411,104633,107771,112092,117572,120429,125125,0,0,0
Stat Crit,0,95050,98824,102211,106513,109962,114591,118597,122813,129091,132835,138243,145468,151947,156629,161967,167384,0,0,0
Tirathons Betrayal,0,76569,79763,84130,87642,90274,95382,98964,104642,113060,116299,121289,125868,133361,140179,148171,152855,0,0,0
Nightblooming Frond,0,75086,79584,84444,87037,92593,95414,99988,105845,110794,116640,120560,127351,132495,138279,145398,151912,0,0,0
VoidStalkers Contract,0,69987,74741,77436,81717,84547,88677,94609,98881,102437,106761,113379,117656,125014,129443,137300,143642,0,0,0
Spectral Thurible,0,64882,69003,70876,72966,74216,76926,79229,82281,85434,90205,91247,95559,97056,99802,106809,107555,0,0,0
Cradle of Anguish,0,97282,102303,109374,111663,117157,121592,122855,131289,135360,141682,144406,153494,158923,164352,172433,178885,0,0,0
Bloodthirsty Instict,0,112343,113196,118954,122014,127010,132060,136775,142381,146370,153957,159728,162597,171438,177200,184285,191935,0,0,0
Stat Mastery,0,100787,103164,105934,111965,113311,118214,122891,127696,130976,138267,142772,149884,151322,160826,164801,174826,0,0,0
Stormsinger Fulmination Charge,0,92844,97337,99943,107127,109571,113758,118448,122178,128003,132110,139034,142706,150929,153140,159251,168136,0,0,0
Chrono Shard,0,94009,96467,99618,105370,108103,114509,118125,122705,127581,130929,135347,141767,149121,154233,159423,166835,0,0,0
Deteriorated Construct Core,0,72874,76119,78313,79822,85385,91313,93220,97543,104536,107657,114148,118024,125253,131116,134510,140842,0,0,0
PVP Badge of Conquest,0,94758,95993,101074,105020,107353,112382,118187,119931,125583,128839,134818,141044,146992,151669,160900,164352,0,0,0
Aran's Relaxing Ruby,0,57651,60469,61907,64201,65875,67273,68825,71857,71167,72742,76798,80553,82473,84413,86723,89546,0,0,0
ForgefiendsFabricator,0,0,71215,75761,77022,79108,81846,85357,88470,91028,93379,97646,99140,102738,108680,110269,114477,0,0,0
Tempered Egg of Serpentrix,0,76804,81524,85410,86207,92935,97290,100955,105808,111609,116632,123676,131348,135985,142753,148728,155827,0,0,0
Stat Haste,0,92181,96246,99273,102582,108036,114760,116046,119533,125229,130193,135170,140070,144967,151325,156935,164282,0,0,0
Engine of Eradication_No Orbs,0,72601,74712,75556,78720,82881,84990,86827,91068,94631,96659,100911,105835,106533,108993,114238,121760,0,0,0
Thrice Accursed Compass,0,92460,97168,101968,108425,109383,114937,121589,124140,128982,133724,139905,145293,150643,157104,162542,170070,0,0,0
Horn of Valor,0,80652,85426,89921,89183,95047,96938,103008,105489,112569,113616,118565,122463,128232,129937,138972,142910,0,0,0
Stat Versatility,0,92458,95834,100681,105420,108494,112418,117440,120353,125728,131095,136906,140822,147584,153390,158365,167181,0,0,0
Fury of the Burning Sky,0,64988,68113,70782,71589,74736,78034,78112,82515,84386,87054,90437,94309,97093,101165,100608,108992,0,0,0
Golganneth's Vitality 5-Pantheon,0,0,0,0,0,0,0,132820,139511,145610,153096,157049,167299,174872,183051,189972,198223,209274,221097,232552
Shadow Singed Fang,0,0,87446,89869,94110,99341,99170,105085,110020,113370,115331,121201,127418,133363,138943,143721,148731,0,0,0
Golganneth's Vitality,0,0,0,0,0,0,0,125246,129099,135556,144434,150380,156312,166013,172274,179798,190517,199464,207406,217608
Aman'Thul's Vision 5-Pantheon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189001
Unstable Arcanocrystal,0,115398,118260,121817,124065,125611,128586,129443,131530,133633,136940,143461,144124,151016,153750,155466,158540,0,0,0
Mrrgria's Favor,0,55825,58267,61586,63397,63602,66784,65496,69227,71535,73330,76707,78724,81984,86590,87050,90263,0,0,0
Twisting Wind,0,70831,72242,77505,79881,84703,87659,92238,96258,98207,106709,111465,115594,122920,128299,133119,140781,0,0,0
Six Feather Fan,0,83783,87202,89564,95771,99673,106441,109913,112133,121417,127428,132666,139361,145620,151663,160720,167865,0,0,0
Golganneth's Vitality 15-Pantheon,0,0,0,0,0,0,0,149246,156964,163073,169968,178771,188000,195608,205308,217149,226846,236894,249470,260801
Engine of Eradication,0,101697,102909,110196,112029,119318,119885,126617,132728,137689,142743,145832,153712,159875,163656,171925,179740,0,0,0
Terminus Signaling Beacon,0,0,74699,76396,79478,82703,85088,90787,90291,93046,95802,100042,104859,108773,111362,116821,119618,0,0,0
Icon of Rot,0,60469,62993,64016,66608,68832,70977,74468,76372,79064,80243,84757,86274,89790,93075,95310,99774,0,0,0
Tome of Unraveling Sanity,0,91019,96074,99098,103911,108582,112617,117096,123868,128345,135269,141008,146584,152036,157768,165084,172374,0,0,0
Aman'Thul's Vision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168962
Aman'Thul's Vision 15-Pantheon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229859
Kil'jaeden's Burning Wish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212398
Darkmoon Deck: Dominion,91066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infernal Alchemist Stone,0,0,0,0,0,0,105181,0,0,0,0,0,0,0,0,0,0,0,0,0
