Trinket,860,865,870,875,880,885,890,895,900,905,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Elementium Bomb Squirrel Generator,0,0,0,0,0,0,0,0,51376,51921,52321,53784,55791,54830,55841,58781,60538,62300,63916,68378,67295,68646,70308,73936,77021,76808,0,0,0
Eye of Skovald,0,0,0,0,0,0,0,0,52486,54673,56094,60304,59319,60656,63475,66291,65811,70909,71012,72577,76606,76605,79386,81439,82106,87326,0,0,0
Splinters of Agronox,0,0,0,0,0,0,0,0,55703,60000,60329,63541,66824,65602,74886,73979,76185,78649,84296,88670,93849,93712,99108,103269,109789,114203,0,0,0
Naraxas Spiked Tongue,0,0,0,0,0,0,0,0,76868,80975,82158,86665,86602,90029,93830,97054,99772,102956,105852,112544,116517,115196,122082,125752,127777,131944,0,0,0
Convergence of Fates,0,0,0,0,0,0,0,0,104675,107272,109668,112537,114411,117990,119518,121328,125707,131190,132981,135960,141452,146108,148016,151785,157314,164069,0,0,0
Caged Horror,0,0,0,0,0,0,0,0,61387,62883,63281,65470,66546,69097,73295,75682,73548,78514,80607,83284,83111,90401,86871,91871,92764,94769,0,0,0
Obelisk of the Void,0,0,0,0,0,0,0,0,69267,72110,72914,75657,80123,82561,85085,87607,92079,95934,100631,105186,107316,108056,115868,121889,123116,131344,0,0,0
Bloodthirsty Instict,0,0,0,0,0,0,0,0,93784,95383,100360,104593,104065,110160,116012,121044,124212,127421,130058,135628,142017,147922,150555,155829,162040,169406,0,0,0
Figurehead of the Naglfar,0,0,0,0,0,0,0,0,38716,40435,40936,43219,43832,42583,44477,43920,47313,45621,48679,47973,48593,53204,52950,50330,54052,57481,0,0,0
Fury of the Burning Sky,0,0,0,0,0,0,0,0,74336,78453,77436,79587,84839,85322,87748,91542,93278,99349,101745,105021,108215,112760,112968,116406,120077,123599,0,0,0
Entwined Elemental Foci,0,0,0,0,0,0,0,0,85883,89479,91606,98044,100287,100447,107330,111670,114780,121697,120731,128168,132899,138353,139636,147746,152703,158374,0,0,0
Unstable Horrorslime,0,0,0,0,0,0,0,0,51720,48897,53024,52245,53237,55258,54170,55763,57554,61184,59040,58550,62985,62991,67032,65281,64430,67932,0,0,0
Tarnished Sentinel Medallion,0,0,0,0,0,0,0,0,115026,119228,125824,127223,133071,140996,141401,146820,152033,158222,164468,172356,178338,184356,192147,200747,205264,214024,0,0,0
Oakhearts Gnarled Root,0,0,0,0,0,0,0,0,65584,66217,67252,70618,72156,75214,80039,81553,82586,85409,86610,88041,91689,97396,101211,103242,111595,110789,0,0,0
Stat Crit,0,0,0,0,0,0,0,0,85651,85504,91468,93002,97445,98567,100621,104042,111548,111980,117265,123337,129675,131248,134463,143921,145702,151825,0,0,0
Prototype Personnel Decimator,0,0,0,0,0,0,0,0,0,0,0,87219,90394,92778,95426,104034,103891,108515,113806,114514,121569,126256,131077,138567,142645,145932,0,0,0
Terror from Below,0,0,0,0,0,0,0,0,90555,92974,96592,96945,106476,105886,110049,117003,118688,123164,127223,134206,137881,142663,150069,153179,162109,168526,0,0,0
Spectral Thurible,0,0,0,0,0,0,0,0,67348,69794,74514,77360,75863,80333,81983,85961,89348,87195,95819,97699,99945,104004,106628,111349,115442,124804,0,0,0
VoidStalkers Contract,0,0,0,0,0,0,0,0,59121,58547,62355,66057,70061,74896,76056,81751,85575,86649,91074,98012,100260,104971,113959,118570,121664,127085,0,0,0
Tirathons Betrayal,0,0,0,0,0,0,0,0,62857,68593,68560,73276,75623,76049,84278,86881,88032,95616,100715,104485,110811,114221,119545,127675,131979,137474,0,0,0
Moonlit Prism,0,0,0,0,0,0,0,0,67874,69799,71069,76880,77918,80699,82699,85270,88005,93640,98864,101171,104314,108787,111368,116063,121476,128661,0,0,0
Nightblooming Frond,0,0,0,0,0,0,0,0,59074,66085,69289,71089,73657,77503,81025,85969,89583,92817,98190,104261,107113,116078,117866,119743,130251,137389,0,0,0
