Trinket,900,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Elementium Bomb Squirrel Generator,0,60808,61740,64277,66224,67785,69742,70416,71074,73654,74466,78505,77688,80293,85458,83813,85464,0,0,0
Eye of Skovald,0,60732,64791,66381,69628,68806,71612,73336,73137,78449,78913,80054,82354,86971,86569,87805,92639,0,0,0
Norgannon's Prowess,0,0,0,0,0,0,0,99441,102550,108360,109884,114845,119651,127204,131115,136981,143170,147119,157230,162037
Wriggling Sinew,0,61764,65725,67882,70163,72428,74598,73437,73905,78535,78000,82800,83269,85392,89664,90902,95487,0,0,0
Dreadstone of Endless Shadows,0,81758,85389,90435,92542,96031,99245,102330,107939,113319,115686,119531,126623,130982,135555,143099,145646,0,0,0
Reality Breacher,0,70336,73004,74650,79175,86530,85462,89235,100452,102195,107253,110878,112556,121785,129556,134130,140479,0,0,0
Portable Manacracker,0,62195,68408,69972,68467,76513,79554,83497,86698,90273,96216,95739,107038,111290,116017,120452,127139,0,0,0
Whispers in the Dark,0,86377,91409,95543,97489,101419,103290,110541,112483,119933,125898,126368,133400,136558,141996,148532,155399,0,0,0
Naraxas' Spiked Tongue,0,59007,61340,59209,62194,66307,69687,73868,73491,74275,79604,80572,87550,90292,91493,94891,99201,0,0,0
Caged Horror,0,37112,41167,36445,39054,43608,41445,45806,47295,48005,48313,51175,55532,55683,58005,57829,61863,0,0,0
Pharameres Forbidden Grimoire,0,51941,55238,55633,58936,60976,58929,64369,64307,66761,64174,68222,73016,73853,80008,81792,82945,0,0,0
Figurehead of the Naglfar,0,47071,47386,46830,49851,51092,49938,52632,52001,53310,52596,53564,55429,56159,57042,61296,59590,0,0,0
Obelisk of the Void,0,67695,74841,73369,76853,75432,81808,85448,88102,93411,97809,98453,100726,110797,108942,114074,116485,0,0,0
Unstable Horrorslime,0,55867,59357,57351,62478,61920,63630,65509,62915,66902,67871,69946,71852,71190,70806,71902,72137,0,0,0
Oakheart's Gnarled Root,0,66490,66838,72206,74950,79545,76146,85115,85531,88640,93499,95623,99631,100706,104035,106154,112112,0,0,0
Padawsen's Unlucky Charm,0,88625,89470,92189,98927,102281,102134,113138,110895,116634,120705,126408,129829,134725,140721,148273,147408,0,0,0
Tarnished Sentinel Medallion,0,87409,90635,94139,96601,102339,107863,110041,115833,120385,125377,132971,134950,141876,149372,156663,161640,0,0,0
