Trinket,900,905,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
FaultyCountermeasure,68779,70636,73552,75124,78552,80096,85301,86126,88545,93239,96147,98236,104066,106478,111906,117028,122935,123895,0,0,0
DraughtOfSouls,30457,32105,35725,39497,41421,47175,50222,54953,59092,61183,67044,72265,76598,82824,87901,92079,99080,106599,0,0,0
ChronoShard,68462,71422,77181,76674,78779,82827,84992,89575,91880,98145,98728,103265,107977,113899,116847,122039,125718,130998,0,0,0
HornOfValor,75835,78295,79893,83574,89429,90410,91976,97887,103865,105312,109557,112370,117852,122595,124691,130620,137663,142534,0,0,0
VoidStalkersContract,52567,55520,56098,60098,63512,66239,67135,73706,75782,78587,81937,87143,90190,96668,100552,105295,109922,116040,0,0,0
SpecterOfBetrayal,78942,80153,83737,88774,94007,96501,100451,103981,109247,116131,123382,130106,135407,142256,149885,153285,163148,173726,0,0,0
ClawOfTheCrystallineScorpid,53652,55923,59307,60565,62184,65150,71771,73075,77786,80953,83998,88168,92348,95956,100653,107157,112462,117364,0,0,0
Stat_Versatility,71527,77006,77284,83010,83754,88236,90769,97121,98013,102670,105027,108702,111264,117441,122153,127931,129983,135863,0,0,0
EttinFingernail,72850,74918,77259,79632,83433,87505,89810,93145,93243,101625,102804,108636,111708,114903,122771,125821,132494,136232,0,0,0
Stat_Mastery,70290,75495,75635,78272,82143,86984,88019,90512,96949,98536,102493,107488,111095,113456,118642,121255,128848,134300,0,0,0
UmbralMoonglaives,65510,69254,69104,72165,76933,76795,79995,83987,84861,87310,89295,93892,98733,101886,105586,108394,112052,118504,0,0,0
SpontaneousAppendages,50483,55244,59027,60634,60683,62775,63584,68370,69570,73760,73752,77842,76474,81891,82594,87141,92332,91933,0,0,0
ConvergenceOfFates,79395,84295,87414,91896,90538,92543,96144,99021,105210,107550,110925,112088,116875,120633,126977,129758,134727,136822,0,0,0
MightOfKrosus,52599,55085,58352,60567,62387,66540,70534,73773,76629,81077,83681,89490,93638,97252,101620,105834,111654,118287,0,0,0
ChaosTalisman,75761,75699,79823,81901,85915,89114,92198,98020,101255,101782,109587,111594,116377,120709,125976,131936,137604,141844,0,0,0
FelOiledInfernalMachine,72234,73747,77631,79801,77693,85540,86096,92037,94290,97174,101878,106933,108132,115691,118117,125725,129085,133828,0,0,0
EntwinedElementalFoci,74158,77158,80753,82504,82742,88083,92659,95767,98066,102135,103656,109520,115044,118264,124932,128270,131312,136145,0,0,0
BloodstainedHandkerchief,56165,59347,61484,68830,67582,70457,75402,79135,83122,86030,90148,95999,100934,105039,109346,114370,122578,125189,0,0,0
EyeOfCommand,84493,86891,91300,94413,98971,100732,104593,109778,112781,116079,121012,125128,126884,132698,140603,144834,149179,155600,0,0,0
Stat_Crit,73610,76155,78551,81518,86416,87846,94484,95405,99798,101017,105907,109274,114687,117040,122265,127317,131022,140061,0,0,0
MementoOfAngerboda,72194,75195,78703,80753,83836,85647,90030,94778,98556,102723,105399,108783,111168,117234,122737,126109,130953,136313,0,0,0
TerrorboundNexus,50432,49367,50863,55601,54686,56681,59657,59039,65140,66281,71209,68642,68987,74161,74493,77956,82179,84990,0,0,0
UnstableArcanocrystal,104002,101858,105191,109621,111389,112129,114709,117399,118771,121157,123933,123255,126350,129779,132541,132003,139064,141634,0,0,0
EngineOfEradication_NoOrbs,52904,52847,53727,56699,56279,61700,61304,64930,68078,67994,70997,73534,75903,79039,82917,84955,88320,90914,0,0,0
HungerOfThePack,73230,77055,78833,81282,85944,87060,93417,94544,97539,100986,108492,111642,114255,117635,122679,128147,132912,139054,0,0,0
GiantOrnamentalPearl,35800,36706,37612,38289,42344,45385,42202,43365,43390,43938,46205,45537,48319,48986,52171,52845,53906,53073,0,0,0
