Trinket,900,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Elementium Bomb Squirrel Generator,0,60929,58697,65771,65488,68732,70060,70148,71656,74910,77641,74805,79763,82350,84774,84443,85561,0,0,0
Eye of Skovald,0,64233,66261,64768,64962,71309,67255,73399,73873,78298,79690,83156,81591,87305,86422,86179,91430,0,0,0
Norgannon's Prowess,0,0,0,0,0,0,0,130578,134896,135846,145836,150348,156670,163077,167706,174909,184607,186198,197354,204402
Wriggling Sinew,0,65514,66622,69538,71927,71824,77614,75319,77261,80618,82362,83380,84458,88707,92621,93304,94720,0,0,0
Dreadstone of Endless Shadows,0,105373,111472,113650,120411,124020,126682,130696,133533,140917,143816,153390,159039,163844,166137,175679,177463,0,0,0
Reality Breacher,0,69487,69977,74604,79451,80862,84959,89558,95188,101440,102424,108223,112159,119462,122723,127466,137419,0,0,0
Portable Manacracker,0,69364,73293,72101,80905,78315,81704,88739,94326,99013,104900,108277,112801,116142,118827,128499,131460,0,0,0
Whispers in the Dark,0,105542,112237,117217,119564,120912,129491,131810,138443,141044,151774,156029,160174,167403,170334,178671,185809,0,0,0
Naraxas' Spiked Tongue,0,74378,73409,81625,80562,85671,89083,89715,93491,96080,99896,101875,106125,109379,113159,114651,116421,0,0,0
Caged Horror,0,59867,62701,64215,66876,64325,68414,68176,70189,71403,73312,75746,77793,79924,83861,83366,86456,0,0,0
Pharameres Forbidden Grimoire,0,70301,68943,69452,73213,78210,79573,78078,82485,82084,86623,90713,94481,91221,95830,101346,102364,0,0,0
Figurehead of the Naglfar,0,47893,50196,53443,53687,56780,54608,53548,56980,58829,59919,60442,60577,62912,65365,62424,64579,0,0,0
Obelisk of the Void,0,92581,90748,98467,99605,101870,111088,110462,116554,115821,124087,125071,128949,135676,137406,144018,150483,0,0,0
Unstable Horrorslime,0,58534,60129,65444,62071,62732,61678,62863,66579,65026,67835,72499,73762,75992,74654,75926,75751,0,0,0
Oakheart's Gnarled Root,0,72097,73737,70652,77887,78369,84560,86402,86423,90457,93137,94449,93466,99251,104517,104847,111996,0,0,0
Padawsen's Unlucky Charm,0,106598,109159,111045,121211,123914,127144,128193,132356,139486,147657,152706,153845,163752,162589,172908,178368,0,0,0
Tarnished Sentinel Medallion,0,95204,96651,104780,105465,106777,111354,115401,121013,119780,131390,133219,134062,141396,146705,153905,157567,0,0,0
PVP Insignia of Dominance,0,87640,93880,94020,98578,100815,107175,107377,111478,114299,123457,124035,128950,133015,140079,140860,147825,0,0,0
Bough of Corruption,0,65033,68770,73031,76075,78492,81697,84207,87482,95295,96169,101666,103804,112674,117649,120079,128084,0,0,0
Charm of the Rising Tide,0,108508,112486,116850,122387,126692,127957,134308,142250,147923,150940,156067,160657,167480,171889,176781,185848,0,0,0
Prototype Personnel Decimator,0,0,85915,91481,93691,94126,99863,99460,105866,109468,113688,116753,117586,128854,129608,133956,136095,0,0,0
Infernal Writ,0,97983,104055,107503,109607,113930,117699,122418,128159,129526,133204,143434,144230,148930,155729,165831,169655,0,0,0
Erratic Metronome,0,109495,110670,116555,119331,124014,128768,130078,138380,141717,143075,153997,155923,161308,167085,178075,180821,0,0,0
Sheath of Asara,0,0,84032,86428,92853,94728,98712,105098,112649,114012,119723,127998,132230,138410,147648,153832,160502,0,0,0
Terror From Below,0,92942,92997,98843,103950,108214,109416,115072,120021,119483,124787,128985,136893,139509,143333,148910,151908,0,0,0
Icon of Rot,0,74872,74554,77339,78835,80130,83399,82984,86995,89810,96223,97148,96079,98524,103242,110178,110827,0,0,0
Stat Crit,0,104713,110326,115986,113756,123696,124601,131284,132668,139675,144627,147863,153317,160298,165388,174807,177699,0,0,0
Moonlit Prism,0,71364,71369,75037,74465,78638,75755,83964,83285,85990,92636,93942,96500,95092,100566,103752,108006,0,0,0
Corrupted Starlight,0,57777,60740,63313,59866,63011,65870,67302,66687,71507,74188,75775,76374,83526,84533,83309,88014,0,0,0
Stat Versatility,0,99572,105389,109096,112657,114344,118854,122759,130265,130366,142063,142405,150767,154040,157290,168032,174692,0,0,0
Deteriorated Construct Core,0,65025,69699,72778,76207,83553,77604,92064,91887,92764,98037,103961,110186,116739,122601,127942,130972,0,0,0
PVP Badge of Dominance,0,97737,100578,106095,112931,113239,117658,121843,123722,130890,139198,141070,144171,150790,160837,161414,168084,0,0,0
Horn of Valor,0,87846,92555,94896,101572,99599,105886,108479,111963,116769,122318,126628,129746,138212,141312,146501,148418,0,0,0
Star Gate,0,69419,73298,76646,76527,85137,84185,89315,95383,98346,103403,104076,113382,118432,123672,127702,138169,0,0,0
Swarming Plaguehive,0,74383,73911,79723,83819,78074,84568,83439,85803,93681,94048,97678,101461,102297,108926,110910,113943,0,0,0
Stormsinger Fulmination Charge,0,92185,95679,101873,104825,106501,112799,115425,118942,124200,129651,131580,136105,138381,145924,152043,153273,0,0,0
Chrono Shard,0,98931,104849,109771,111312,114949,115490,124228,129701,134341,139054,144489,149093,152152,159614,166540,171470,0,0,0
Aran's Relaxing Ruby,0,67184,69613,68383,71052,71915,74968,76748,80320,80206,82277,85530,90534,88986,94591,93306,96741,0,0,0
Stat Mastery,0,107652,104429,114446,112795,117942,120895,129341,129538,136977,144927,145752,156741,157808,163931,169131,175294,0,0,0
Fury of the Burning Sky,0,71928,71584,75300,77211,79417,81406,85297,88828,88456,94350,99757,96258,98106,104130,108227,114333,0,0,0
Devilsaur Shock-Baton,0,75397,79164,78216,81855,85576,87235,88404,92783,98910,100640,105620,103227,108700,109574,117004,113675,0,0,0
Unstable Arcanocrystal,0,162645,165402,171291,173888,175758,179798,185459,189503,188062,195409,199064,201818,203387,208634,216168,216219,0,0,0
Mrrgria's Favor,0,69130,72619,70762,74779,79368,78220,80260,83103,85763,87683,88191,94741,95511,97110,102786,101122,0,0,0
Twisting Wind,0,62108,69151,71848,73263,76009,79199,83837,93034,95653,98377,101223,108204,112247,120995,122640,131011,0,0,0
Spectral Thurible,0,75226,73794,78873,80983,82917,86469,85998,87198,96439,95525,97109,100925,106041,109172,116985,116043,0,0,0
Stat Haste,0,107538,110969,113958,115652,121317,125185,128976,131935,139868,141787,147718,156243,158808,165921,168977,176924,0,0,0
Acrid Catalyst Injector,0,0,135237,140467,147766,152257,156675,160510,165788,172644,175715,183164,188650,195531,201188,206046,218129,0,0,0
Vitality Resonator,0,0,95392,100083,102690,104429,109429,112939,116872,120551,122228,129925,131437,141648,138832,150481,155330,0,0,0
Tome of Unraveling Sanity,0,93756,94197,97674,103128,108861,111110,116393,122448,128891,131369,137876,144823,151741,153634,164761,169026,0,0,0
KiljaedensBurningWish,0,0,0,0,0,0,0,0,0,0,0,0,0,177872,0,0,0,0,0,222662
Terminus Signaling Beacon,0,0,78529,82777,82446,88550,90379,92908,95952,99685,105182,101870,108283,111537,115973,118082,120862,0,0,0
Aman'Thul's Vision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231893
Eyasu's Mulligan,0,102912,104810,109289,113627,118338,120177,125179,128761,132222,138639,142315,148965,156664,156513,164328,173468,0,0,0
Darkmoon Deck: Hellfire,103964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astral Alchemist Stone,0,0,0,0,0,0,112794,0,0,0,0,0,0,0,0,0,0,0,0,0
