Trinket,900,905,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
FaultyCountermeasure,74008,75412,80717,81738,83326,86698,90613,95073,96197,98462,101118,108334,110333,110930,115575,121928,123904,131188,0,0,0
DraughtOfSouls,25597,26163,28495,34896,33626,37171,42156,42999,49822,47309,55788,54542,60230,64967,67853,72291,76324,78312,0,0,0
ChronoShard,106532,109605,111432,118428,124098,126200,132528,137753,141222,146477,152277,154577,163316,168551,171370,181929,187306,196143,0,0,0
HornOfValor,91012,94335,99407,102705,101625,106164,113488,115032,121162,124771,126182,132784,136942,139997,144887,153227,160572,159989,0,0,0
VoidStalkersContract,74093,72198,78436,79707,87125,89748,97841,97509,102392,107842,113196,118101,122765,130845,135656,141976,145458,155433,0,0,0
SpecterOfBetrayal,89735,93428,99889,103409,107270,115062,117982,126982,131748,138216,144367,150083,159148,164114,172505,184861,190463,197149,0,0,0
ClawOfTheCrystallineScorpid,71901,74023,76660,81091,82450,88988,91996,97700,102313,108155,113628,117878,121200,126313,133619,137884,145167,150841,0,0,0
Stat_Versatility,108556,107604,115946,118004,123591,127182,134803,138546,140728,145891,148649,156383,162642,170940,176848,181546,188915,201849,0,0,0
EttinFingernail,107721,111647,115948,117270,124315,128202,130456,137048,142978,150008,158024,162322,169369,173330,175294,182704,194626,198095,0,0,0
Stat_Mastery,105304,111190,117732,120324,123418,127944,135326,137527,144133,151247,154324,159262,165225,171063,180140,184960,192259,197545,0,0,0
UmbralMoonglaives,72301,75449,75561,76524,80251,82128,88517,89785,92327,90627,96000,98059,101547,104840,109331,112547,117534,120146,0,0,0
SpontaneousAppendages,63737,63076,65712,66921,69668,71006,73976,73892,76981,79764,76476,83636,89778,90432,93452,97720,97951,98778,0,0,0
ConvergenceOfFates,74777,79346,77870,83668,89656,90197,94405,100119,103011,107746,111699,117265,124768,127289,136741,138639,147338,154007,0,0,0
MightOfKrosus,71798,75124,76371,83532,85021,91433,93339,95809,103174,106915,111654,113933,123579,129118,136191,143225,149970,159438,0,0,0
ChaosTalisman,116717,121946,125550,130176,134027,140473,145555,149178,156343,159887,165281,174713,179483,187978,192147,202891,206553,217214,0,0,0
FelOiledInfernalMachine,104515,111053,113051,116318,124132,127193,131928,137032,140883,144807,152245,156548,160347,168875,175467,182050,187564,195757,0,0,0
EntwinedElementalFoci,107902,110471,116265,121008,129161,130585,130870,135905,145505,149508,158642,156123,163290,176263,179781,186172,191882,197840,0,0,0
