Trinket,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
FaultyCountermeasure,67473,71041,73447,74442,77559,78163,79969,83457,85573,86572,95263,95515,0,0,0
DraughtOfSouls,78513,82833,85968,91569,96785,101697,107074,113373,122199,125960,130610,139620,0,0,0
ChronoShard,125160,130132,138326,139340,145704,152157,155436,167044,171575,177596,185035,195279,0,0,0
HornOfValor,136877,143348,146686,151602,159390,165140,173266,175007,185569,190595,202701,211201,0,0,0
Stat_Mastery,51985,51353,51588,53760,55148,56199,57195,60734,64417,59985,62740,63615,0,0,0
BloodstainedHandkerchief,89063,96906,101241,107683,111071,119203,120496,130025,134964,141302,146507,156530,0,0,0
RavagedSeedPod,58401,61106,62083,63052,65969,64096,70630,69970,72358,76515,74992,78861,0,0,0
ConvergenceOfFates,170862,175922,180257,186137,190071,196601,203514,208970,213174,220701,227478,235656,0,0,0
UmbralMoonglaives,78357,80145,79451,83800,84797,91043,92436,95880,98092,103621,105366,107500,0,0,0
NightbloomingFrond,13264,12312,14937,17733,18048,18778,20693,21965,22459,23980,23992,22860,0,0,0
Stat_Crit,46734,47410,50055,52184,51433,53787,55095,53614,57417,55709,57840,60008,0,0,0
MementoOfAngerboda,129842,135337,141697,148368,148748,161610,165044,172188,177584,185836,192841,200167,0,0,0
ArcanogolemDigit,12580,15742,12426,12989,18027,17471,15460,18749,16243,19118,21405,21139,0,0,0
MarkOfDargrul,57313,62667,63025,61109,66334,67359,68769,69532,72877,73187,75873,78645,0,0,0
ChaosTalisman,129843,131674,138142,146338,148179,153785,158840,169202,172059,179914,189679,196972,0,0,0
Stat_Haste,38603,38012,38598,35901,36061,40557,42251,41059,41680,43580,41393,43289,0,0,0
EyeOfCommand,153623,155428,162675,168640,177311,181177,189707,196212,204470,209817,217257,227364,0,0,0
TemperedEggOfSerpentrix,14057,14199,15561,15859,17452,17295,15188,20139,21110,23538,23044,23021,0,0,0
InfernalCinders,85479,89562,92612,97257,101221,104416,106438,109830,110969,120919,120321,125543,0,0,0
UnstableArcanocrystal,157659,163152,165075,167900,171525,173754,178559,180041,183804,187519,188049,194270,0,0,0
TirathonsBetrayal,31003,30434,34126,32794,39103,37047,40107,43366,46891,45250,50590,51811,0,0,0
EntwinedElementalFoci,134501,139726,142207,148516,155230,162747,169608,173890,181719,188859,198219,203771,0,0,0
BloodthirstyInstict,55227,52791,57051,57767,60082,60037,64260,63098,66630,65857,70246,71984,0,0,0
ForgefiendsFabricator,80703,84840,85585,87132,89367,96433,95601,101494,102988,105509,108517,115811,0,0,0
HungerOfThePack,131341,136858,140142,146880,154192,160426,166397,173380,176657,183736,192864,194978,0,0,0
NightmareEggShell,122512,126004,129317,134665,140788,145748,154223,156366,167711,174636,181968,186653,0,0,0
EngineOfEradication_NoOrbs,100815,103577,105177,107960,108054,116850,118189,123287,127906,130120,134927,140922,0,0,0
SixFeatherFan,21860,22917,23168,22836,25619,26154,28488,29475,30752,31319,34381,36845,0,0,0
CradleOfAnguish,128620,132965,141387,145006,148086,158213,161668,170964,174412,183884,191054,195448,0,0,0
TinyOozelingInAJar,62013,64264,63854,68137,67708,72475,72112,72533,77919,78028,79198,81312,0,0,0
SpikedCounterweight,56855,59059,59879,58735,61654,64668,66751,69867,72287,71045,70716,77116,0,0,0
SeepingScourgewing,132655,139674,144146,149429,159024,162484,169630,175270,178657,189384,197224,204312,0,0,0
GolgannethsVitality,0,0,29986,35287,37530,35534,40541,38492,42325,46178,50492,49843,51372,52708,58573
NaturesCall,87080,91774,92148,91697,94406,95752,98825,105892,102235,105177,109789,110097,0,0,0
SpontaneousAppendages,69952,74845,74259,77054,81555,79617,84542,86657,89015,88416,92587,100153,0,0,0
ThriceAccursedCompass,50974,52644,53227,52554,52254,54205,56031,57633,55811,57878,58137,61902,0,0,0
TerrorboundNexus,76334,79740,86858,85885,86106,90399,93308,96502,102352,99197,104677,109460,0,0,0
VoidStalkersContract,91312,97799,102701,104515,111532,115385,123272,126741,132990,140771,143841,153307,0,0,0
SpecterOfBetrayal,132212,138956,145093,152635,159276,169227,176499,184059,197891,204015,214977,225756,0,0,0
Stat_Versatility,42215,46415,45214,47878,49082,48336,49951,49109,50300,51085,52669,53216,0,0,0
TomeOfUnravelingSanity,44508,42946,45975,42483,48558,49491,49793,50841,53434,52132,54342,57039,0,0,0
InfernalAlchemistStone,0,126366,0,0,0,0,0,0,0,0,0,0,0,0,0
KiljaedensBurningWish,0,0,157316,0,0,0,0,0,194120,0,0,0,0,0,247333
VialOfCeaselessToxins,118835,122423,131262,135061,143043,150627,159301,164839,172274,181083,191782,200410,0,0,0
SpecterOfBetrayal_NoOverlap,109876,115351,121156,127532,130829,138713,141986,150827,159647,166908,173541,181916,0,0,0
ShadowsingedFang,113888,118647,125932,128728,133690,137165,140761,148390,154552,158986,165895,173610,0,0,0
WindscarWhetstone,57540,57202,61413,62513,63739,66533,66984,70015,70639,70691,72936,73583,0,0,0
ToeKneesPromise,51962,50990,53080,52091,58412,59740,61151,62168,63621,66031,66052,68946,0,0,0
AmanThulsVision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203116
EngineOfEradication,137983,145502,154118,156633,161705,170796,172917,180386,190970,196384,204917,212829,0,0,0
GorshalachsLegacy,110450,113981,115357,119759,125452,128898,138294,140665,148456,152344,158477,164193,0,0,0
TerminusSignalingBeacon,58943,58318,61565,64790,64446,65066,66211,67745,70804,74531,72894,77856,0,0,0
InfernalCinders_3Users,93949,98751,99967,104974,106116,112774,115798,118210,126184,129450,129900,135954,0,0,0
