Trinket,900,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Elementium Bomb Squirrel Generator,0,48179,51752,54304,57463,56279,56491,57717,60449,61038,63386,66852,68823,70254,71243,71175,75985,0,0,0
Eye of Skovald,0,54754,55368,56705,57898,61508,61646,64532,67494,67970,71295,72050,71990,76854,76400,80566,81743,0,0,0
Norgannon's Prowess,0,0,0,0,0,0,0,121181,125082,131214,138781,142689,143655,154305,158096,166375,170839,177663,184125,192074
Wriggling Sinew,0,56972,55921,58951,60730,63764,66033,66267,69583,67833,75840,73746,78469,77242,80762,82956,88675,0,0,0
Dreadstone of Endless Shadows,0,99753,100325,102956,105863,110247,116202,118597,123802,126516,132757,138640,143646,148139,154140,158589,169667,0,0,0
Reality Breacher,0,63072,67841,67533,74926,77208,81742,82817,86175,93582,96313,99349,107190,112845,114517,120621,124728,0,0,0
Portable Manacracker,0,57626,62819,66438,68937,69638,71329,77043,79156,87419,91140,94748,97624,100306,110839,108509,118032,0,0,0
Whispers in the Dark,0,94261,93873,101040,102518,109321,109932,117135,118658,122796,132183,134724,141286,145877,151368,158680,163863,0,0,0
Naraxas' Spiked Tongue,0,75511,80849,80541,86617,87449,90140,96011,96462,101644,104689,105652,110827,113971,121037,120860,124331,0,0,0
Caged Horror,0,59456,55712,60261,63444,65032,66095,66819,67486,72377,73369,73263,75054,80452,79585,83590,87664,0,0,0
Pharameres Forbidden Grimoire,0,64686,66379,63756,71276,73574,72206,71089,76344,80580,78969,83200,85559,89550,90848,91266,96324,0,0,0
Figurehead of the Naglfar,0,39549,40874,42313,43232,42223,44385,45642,44640,48381,48619,49792,50505,50851,48535,54383,53900,0,0,0
Obelisk of the Void,0,79838,82709,84920,88464,88517,92528,96752,99836,101382,107324,108791,114692,121405,120449,124925,131022,0,0,0
Unstable Horrorslime,0,52033,54012,55068,50854,55562,58515,56606,57243,58244,59480,60511,62512,65011,64641,65863,66303,0,0,0
Oakheart's Gnarled Root,0,63873,66798,68809,72949,75356,75284,79026,80648,82201,87910,89729,91518,94790,98545,101033,105568,0,0,0
Padawsen's Unlucky Charm,0,97126,100146,102422,108153,109289,116212,118229,124362,128066,132393,135167,142176,148097,151644,155569,162410,0,0,0
Tarnished Sentinel Medallion,0,110559,115728,120097,124726,132399,136093,139225,144563,151209,157436,159725,167847,177864,181448,187948,195510,0,0,0
PVP Insignia of Dominance,0,77540,79818,85032,86612,91931,93099,95912,100341,107125,110160,109146,115613,122187,122082,128264,134202,0,0,0
Bough of Corruption,0,57642,60851,64434,67205,71616,75659,77019,82452,86155,90669,93789,101223,104744,108873,111367,121429,0,0,0
