Trinket,900,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Elementium Bomb Squirrel Generator,0,55957,59372,60291,60195,63828,63423,67160,66358,70669,70872,74136,75617,75198,81549,81219,81977,0,0,0
Eye of Skovald,0,60397,63699,63828,65020,69427,64475,71655,74413,72487,73661,74547,82244,86328,85093,86788,90354,0,0,0
Norgannon's Prowess,0,0,0,0,0,0,0,138568,140235,150722,156054,157703,164047,171674,175796,183645,189589,195559,205383,210420
Wriggling Sinew,0,58741,61214,65070,65475,70996,68554,71335,71505,76149,77395,78097,78909,82359,84396,87356,87319,0,0,0
Dreadstone of Endless Shadows,0,109823,110648,113889,117707,120879,127490,128939,136258,141597,141685,149859,156712,160790,163973,171930,178697,0,0,0
Reality Breacher,0,75597,78860,80121,82044,87161,91133,94438,102157,106033,112740,110849,119742,124181,126438,133264,144622,0,0,0
Portable Manacracker,0,66849,72512,70907,77255,78585,86192,87767,92610,98494,102234,106021,112327,114701,120827,124109,133925,0,0,0
Whispers in the Dark,0,99605,103309,105439,109214,114469,114858,127359,126171,131136,137389,140238,145053,153579,156985,166824,174004,0,0,0
Naraxas' Spiked Tongue,0,90980,95641,101597,102953,105188,109096,109408,115115,117276,121737,124840,133024,134366,139439,141759,149299,0,0,0
Caged Horror,0,66683,71338,73599,72487,77945,81281,80963,86416,85248,87450,87928,93271,93655,94900,99818,105636,0,0,0
Pharameres Forbidden Grimoire,0,71171,69972,71660,74162,80419,77922,82149,83115,84620,87212,89035,92589,95111,94896,100197,102286,0,0,0
Figurehead of the Naglfar,0,44270,45110,45294,46403,51713,49661,50935,48354,50860,56377,55363,52776,56980,57376,58122,62040,0,0,0
Obelisk of the Void,0,85749,88755,92743,97851,97034,99246,107268,108114,110032,116789,120104,122311,121843,131252,133811,139966,0,0,0
Unstable Horrorslime,0,58241,57951,60691,62326,59683,61939,63817,60842,66548,65095,65335,69490,67481,72990,71176,72773,0,0,0
Oakheart's Gnarled Root,0,78131,82090,82801,83949,88476,94322,93145,97074,99848,101205,106671,109198,112216,115910,118388,124390,0,0,0
Padawsen's Unlucky Charm,0,102890,109345,113852,117686,119237,122362,129164,133543,138878,143687,145267,150480,157963,163955,172745,177093,0,0,0
Tarnished Sentinel Medallion,0,127506,132246,136835,139798,143640,149318,156976,159307,165676,172937,178690,185577,192982,202575,209271,215058,0,0,0
PVP Insignia of Dominance,0,90569,90681,97810,102697,103827,105148,109896,114007,116812,125383,124177,131546,132709,138080,144386,148049,0,0,0
