Trinket,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
FaultyCountermeasure,68439,68839,70753,74756,77135,80956,81916,82934,85023,90089,94040,97212,0,0,0
DraughtOfSouls,56326,63736,68611,71969,77907,83005,88747,94709,98850,107341,112931,117571,0,0,0
ChronoShard,103275,106830,111073,114203,117913,125751,129125,134337,142660,145766,153692,158415,0,0,0
HornOfValor,91921,96121,101792,104999,110478,115702,117360,121790,125832,130125,134523,139319,0,0,0
Stat_Mastery,111778,117179,121937,126044,129080,136833,143434,150289,152411,160405,166991,172487,0,0,0
BloodstainedHandkerchief,92152,101272,103308,109901,112896,118332,126257,131102,138739,142111,150711,158402,0,0,0
RavagedSeedPod,42475,43764,43893,47248,47445,49453,52356,53560,55916,54700,58506,58777,0,0,0
ConvergenceOfFates,141022,144100,152490,153919,158427,161976,170833,174585,184077,185258,192399,203297,0,0,0
UmbralMoonglaives,98359,100794,103538,109131,112832,113520,120012,125858,128327,134962,140226,145503,0,0,0
NightbloomingFrond,113659,120448,123587,128769,136107,141258,145713,158893,163721,173763,179425,187834,0,0,0
Stat_Crit,117787,122468,125535,131952,136692,143304,146143,153980,159296,164799,171206,180321,0,0,0
MementoOfAngerboda,114418,116031,120608,125001,131435,136402,143133,148341,153971,160756,166870,172712,0,0,0
ArcanogolemDigit,96511,100539,106490,112774,115582,120997,126744,134513,140007,147511,156425,162488,0,0,0
MarkOfDargrul,53818,53958,59071,58069,61208,60192,63555,65567,70690,69777,73806,73676,0,0,0
ChaosTalisman,114947,119218,122660,131048,135229,142488,146411,151936,159298,167310,175588,181313,0,0,0
Stat_Haste,102463,109551,113776,118771,121223,126228,135345,137519,143293,149353,156815,163096,0,0,0
EyeOfCommand,134546,138675,144504,148563,153339,159999,168499,174777,180035,187373,193370,203298,0,0,0
TemperedEggOfSerpentrix,91523,97210,98228,104785,109250,112960,120870,128185,130898,136578,144009,151235,0,0,0
InfernalCinders,94375,99355,102479,106090,108673,114506,118707,122388,125661,133007,137526,140351,0,0,0
UnstableArcanocrystal,118586,120827,122306,125866,126245,130364,133387,135384,140030,141933,144864,147248,0,0,0
TirathonsBetrayal,97780,102820,107747,113044,120262,123877,128944,138504,143046,149437,160156,167299,0,0,0
EntwinedElementalFoci,111228,115367,122805,126275,131330,136371,142853,147383,155252,160581,166067,173346,0,0,0
BloodthirstyInstict,113822,116362,121390,126242,131578,136644,141131,145366,153970,162050,168628,174710,0,0,0
ForgefiendsFabricator,76919,80322,79678,83820,88124,89647,94050,96521,100571,104545,109513,112267,0,0,0
HungerOfThePack,116678,123501,126195,129264,135955,142178,146555,153380,159389,165425,172370,179962,0,0,0
NightmareEggShell,99458,106869,107476,111029,118494,124180,127345,131988,139212,145901,151743,158441,0,0,0
EngineOfEradication_NoOrbs,78514,80824,83062,85105,91233,93336,96071,101299,101891,106181,108562,115304,0,0,0
SixFeatherFan,107612,112869,116466,123293,130342,134475,140724,150295,155999,162141,171063,177387,0,0,0
CradleOfAnguish,113821,119405,124581,128991,133028,139099,144651,152077,158328,165275,171657,179039,0,0,0
TinyOozelingInAJar,51711,48966,53106,55347,53981,57488,57960,60597,64856,63085,63783,68308,0,0,0
SpikedCounterweight,47706,50519,50180,51507,55668,53980,59461,59586,61390,62733,66722,68893,0,0,0
SeepingScourgewing,120623,127771,129795,134213,139206,146842,150143,158040,166152,171389,176562,184861,0,0,0
GolgannethsVitality,0,0,133238,138484,144689,152490,160184,166683,174410,183980,192336,204374,210375,220406,231425
NaturesCall,61940,63528,67486,66563,68692,70879,72268,75339,75412,76621,78401,81619,0,0,0
SpontaneousAppendages,61712,65606,64625,69694,72538,72823,74342,80572,78086,82347,85473,88036,0,0,0
ThriceAccursedCompass,109679,113208,122545,123377,127293,134967,138605,146404,152837,159911,164067,172665,0,0,0
TerrorboundNexus,56692,59873,61188,64719,64967,70524,69196,74718,73911,76574,77351,79976,0,0,0
VoidStalkersContract,97918,101825,104965,111931,117558,119798,127545,134560,142029,147519,153042,161351,0,0,0
SpecterOfBetrayal,128931,136744,144881,153539,157562,165414,172885,182383,192206,203672,207785,217308,0,0,0
Stat_Versatility,115135,125074,129334,133886,138189,143126,150954,156810,163522,170103,176213,181596,0,0,0
TomeOfUnravelingSanity,105882,110273,115073,118327,124796,130916,134031,142381,145957,156449,161329,167060,0,0,0
InfernalAlchemistStone,0,114511,0,0,0,0,0,0,0,0,0,0,0,0,0
KiljaedensBurningWish,0,0,133295,0,0,0,0,0,172295,0,0,0,0,0,214918
VialOfCeaselessToxins,113924,120085,124904,133037,137518,144773,150085,158578,167016,177559,183106,190778,0,0,0
SpecterOfBetrayal_NoOverlap,107424,110821,118522,122939,130218,135465,144731,150457,154946,163803,170828,180518,0,0,0
ShadowsingedFang,101307,103679,111795,112416,116504,120671,130093,133021,138062,140558,149161,155800,0,0,0
WindscarWhetstone,44637,46092,48178,49091,52125,53793,52408,55002,56448,58888,59954,60469,0,0,0
ToeKneesPromise,48851,49154,52414,54841,54557,58776,59838,60744,63275,66322,67646,69565,0,0,0
AmanThulsVision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156746
EngineOfEradication,114073,120234,127494,129133,137122,141798,149553,155084,161083,167156,171746,180305,0,0,0
GorshalachsLegacy,116782,122751,126895,130841,136332,142108,149160,154580,163849,168607,179305,187782,0,0,0
TerminusSignalingBeacon,46956,47500,48938,52611,52556,53392,55877,56950,59344,58116,60092,61173,0,0,0
InfernalCinders_3Users,101019,107690,110714,116187,119420,125455,129189,133847,140391,146102,150012,155198,0,0,0
