Trinket,900,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Elementium Bomb Squirrel Generator,0,49185,49052,53934,53473,56252,56886,59450,58684,62186,60506,63828,66319,64619,69255,67658,72420,0,0,0
Eye of Skovald,0,55546,58411,60765,60661,65486,66236,66722,69666,70075,71704,75812,77798,80545,82105,84665,87665,0,0,0
Convergence of Fates,0,151651,154681,159856,165034,167471,168320,175824,178685,184862,191859,195307,203667,205487,213203,216859,227179,0,0,0
Splinters of Agronox,0,77347,78795,81500,85208,87562,93471,97005,102639,107535,109435,117582,120221,129872,133407,137290,146116,0,0,0
Naraxas Spiked Tongue,0,75932,79404,82617,84169,88107,87884,94272,97290,98982,101147,106748,108778,111761,118289,119771,127058,0,0,0
Caged Horror,0,60717,62735,64752,64633,66491,69983,71133,73935,75911,78024,80688,80794,82718,83450,86233,87528,0,0,0
Figurehead of the Naglfar,0,40969,44567,44879,44576,46658,47776,47444,46548,51229,52603,53156,55315,55444,53854,53633,56719,0,0,0
Oakhearts Gnarled Root,0,68569,72924,75787,78150,77149,83340,84937,85791,88239,94032,93680,98567,103246,107567,109751,113614,0,0,0
Entwined Elemental Foci,0,114813,115588,122125,126877,130451,134202,139681,143168,152314,155611,159372,167771,173084,181738,188877,197260,0,0,0
Obelisk of the Void,0,108620,114543,115856,119585,126172,126768,132839,138394,139356,147031,149996,158604,158519,165252,169591,179115,0,0,0
Unstable Horrorslime,0,52134,53190,55000,56841,55312,55629,60966,59840,59888,61116,64518,64870,65708,66631,67195,69145,0,0,0
Terror from Below,0,91758,94397,98689,99376,102691,111318,112540,114972,119500,122320,128453,133763,136973,143363,150203,153808,0,0,0
Tarnished Sentinel Medallion,0,95957,103168,105097,111083,113835,118305,122744,125170,131817,136401,140101,145661,150342,158049,164406,169190,0,0,0
PVP Insignia of Conquest,0,92324,94872,97743,101646,104615,108726,113490,117813,121808,125039,128983,133975,140410,144837,152088,156446,0,0,0
Moonlit Prism,0,90764,92554,94776,100744,102027,104551,107396,110588,111316,117311,119205,121904,130084,131075,135779,138260,0,0,0
Prototype Personnel Decimator,0,0,101034,105335,105800,107762,111718,115137,120360,121275,127022,130485,134326,137407,142646,145438,152157,0,0,0
Stat Crit,0,108405,112606,115812,121417,125456,129288,133501,138010,141640,150139,156235,161729,165783,177069,182176,188661,0,0,0
Tirathons Betrayal,0,83169,84209,91451,94493,98068,104997,109219,113039,120815,124921,130376,137325,142711,147932,154897,162545,0,0,0
Nightblooming Frond,0,80786,84806,90053,92812,94960,102219,106488,109672,115280,122729,126934,130674,136850,144415,152919,158904,0,0,0
VoidStalkers Contract,0,77439,81282,83384,87802,91189,98143,101391,108567,108393,117389,118018,128014,133788,140019,145747,154878,0,0,0
Spectral Thurible,0,74491,73881,77064,80965,83498,85224,89982,93069,95475,100233,101709,105584,108692,111454,115510,122647,0,0,0
Cradle of Anguish,0,131425,134066,137455,143472,148327,151296,158455,164158,169768,176981,182523,189164,194583,204122,208502,217136,0,0,0
Bloodthirsty Instict,0,137317,134884,140858,147618,150684,157034,162092,170256,174889,178366,187103,195100,198634,209466,216348,223103,0,0,0
Stat Mastery,0,112520,117759,123116,125339,130813,134824,139868,144718,146331,154117,162056,166218,171743,177802,185048,194334,0,0,0
Stormsinger Fulmination Charge,0,107007,109309,115558,118882,124248,127247,136554,138083,144777,149267,155551,160200,167726,172212,178432,184893,0,0,0
Chrono Shard,0,111413,118511,119368,122920,129243,132777,135894,141081,149845,155342,157244,165646,171917,177422,187252,191337,0,0,0
Deteriorated Construct Core,0,75781,81707,84061,90671,93700,95355,103142,106799,110229,117771,120603,129078,131402,141157,148076,155666,0,0,0
PVP Badge of Conquest,0,105634,108338,114040,115954,120028,127854,132263,135225,141744,146848,152723,157936,162518,172541,179618,183655,0,0,0
Aran's Relaxing Ruby,0,63540,66311,69469,74036,74425,75928,79796,80670,81449,83862,87547,90076,91223,95975,96788,100550,0,0,0
