Trinket,900,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Elementium Bomb Squirrel Generator,0,59627,57844,61876,61546,62994,65839,65867,65078,68737,69702,71210,72337,74989,77800,81471,82171,0,0,0
Eye of Skovald,0,64040,63532,69089,71448,73125,76097,75390,77418,81282,81160,82808,85699,91743,92410,92281,98090,0,0,0
Convergence of Fates,0,121371,121520,124542,131039,132120,141408,143232,152216,151543,156564,164656,171436,175290,181696,188018,195012,0,0,0
Splinters of Agronox,0,76723,84251,86234,90047,92277,97134,102638,107619,114708,117870,123418,129508,132103,137863,141964,148991,0,0,0
Naraxas Spiked Tongue,0,83123,85267,87260,91590,94236,97923,97538,104107,107368,106186,112642,115393,119409,124962,127548,128870,0,0,0
Caged Horror,0,62883,65480,68000,69981,73691,71900,77349,80692,79058,78932,83182,86223,89467,93514,95057,97057,0,0,0
Figurehead of the Naglfar,0,52738,51529,51448,51441,55761,56113,55216,56036,58623,58974,59787,60144,59792,61739,65269,63729,0,0,0
Oakhearts Gnarled Root,0,73882,76228,78650,78980,80305,87009,88423,89900,93897,97189,99092,99938,105916,110189,110068,117104,0,0,0
Entwined Elemental Foci,0,118856,124250,128454,136002,139461,145862,146847,155506,157033,166776,174909,178173,186106,193718,200226,209564,0,0,0
Obelisk of the Void,0,104295,111608,111730,116802,121415,123418,129412,132800,138222,142093,148346,150674,156865,164811,168353,172952,0,0,0
Unstable Horrorslime,0,62143,63106,61332,61576,64513,65478,65976,67944,69675,70762,71432,72019,73636,78836,78576,80789,0,0,0
Terror from Below,0,99693,101693,107349,109809,114375,119115,120611,127635,128866,134433,136835,148385,151909,155347,160038,164139,0,0,0
Tarnished Sentinel Medallion,0,107068,111072,114411,115478,119204,124814,132495,133374,140519,145959,150165,155118,162595,166380,172913,179425,0,0,0
PVP Insignia of Conquest,0,98180,98337,102099,105665,109436,114896,118119,120475,126625,130785,136428,139456,146501,153372,157647,163182,0,0,0
Moonlit Prism,0,94798,96103,97608,103779,107351,113309,113323,115794,119202,125867,130182,132400,138101,141811,145830,150737,0,0,0
Prototype Personnel Decimator,0,0,101663,104738,107691,110010,114140,118715,123054,127989,129202,132262,138704,144734,149879,153991,160424,0,0,0
