Trinket,900,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Elementium Bomb Squirrel Generator,0,60727,64810,68053,72774,73269,71065,76414,78039,78834,78449,84253,86002,87616,88173,94036,95051,0,0,0
Eye of Skovald,0,70518,69893,72364,69866,73660,76684,80066,89349,84025,90182,91759,90127,98340,100481,96159,105143,0,0,0
Convergence of Fates,0,119925,128417,131134,135057,135588,143592,147189,149227,154932,161701,166315,173644,175264,182426,188800,194569,0,0,0
Splinters of Agronox,0,68780,65349,73919,71172,74744,83638,85296,86497,91779,95725,99937,101221,108036,111074,116267,123343,0,0,0
Naraxas Spiked Tongue,0,95688,99135,101083,106505,109798,110567,116893,118835,124005,127598,130985,136255,137539,145785,147155,150777,0,0,0
Caged Horror,0,75940,78019,80706,77842,82710,87720,88288,91857,97755,98729,96473,100373,102641,105864,112004,109413,0,0,0
Figurehead of the Naglfar,0,50193,52066,56062,53361,54412,56344,54162,58688,61750,62569,60583,64592,66685,65571,67378,68057,0,0,0
Oakhearts Gnarled Root,0,75894,79276,81692,86227,91886,92254,94734,95506,101093,101295,107035,107269,113632,116460,121689,127290,0,0,0
Entwined Elemental Foci,0,108713,114674,117656,123381,127242,131197,136639,139794,144493,150001,154472,163414,163161,170575,177800,185805,0,0,0
Obelisk of the Void,0,104185,107142,107411,109920,111332,117842,119804,124399,131429,136589,144157,145766,152924,155564,161810,165242,0,0,0
Unstable Horrorslime,0,63195,62554,67206,64087,66699,70353,73595,70001,76852,74751,79652,78452,76585,77516,81889,81717,0,0,0
Terror from Below,0,112257,116059,120826,119497,129022,132442,134632,141507,148075,151113,159551,162826,169184,172544,180845,187671,0,0,0
Tarnished Sentinel Medallion,0,139432,144301,147616,152473,161454,165889,173714,181995,183239,191641,197092,205871,214333,225921,229332,239266,0,0,0
PVP Insignia of Conquest,0,86843,86776,92888,90996,98066,102470,102893,108659,114885,116616,123753,124924,129616,131319,137271,140974,0,0,0
Moonlit Prism,0,101620,102745,104122,107605,111063,117968,118857,122727,128449,133252,137219,146531,149346,152196,159368,163939,0,0,0
Prototype Personnel Decimator,0,0,115947,123385,123069,130397,132164,132636,143344,152783,154366,157822,166436,171269,178551,182054,189852,0,0,0
Stat Crit,0,110073,110581,115091,120028,121711,127492,131312,137534,138698,147032,149795,157800,162409,166473,172648,180871,0,0,0
Tirathons Betrayal,0,73480,75496,80224,84861,90592,90193,97089,101454,108038,111630,118500,123933,127218,135322,143415,148927,0,0,0
Nightblooming Frond,0,75452,74011,75159,81794,87998,95514,94259,99730,105341,107525,113960,123186,125558,130080,139921,149744,0,0,0
VoidStalkers Contract,0,68230,73427,74685,75928,83201,87356,91735,95245,103822,101083,108121,116980,118792,125654,131137,137411,0,0,0
Spectral Thurible,0,80278,84514,87402,90955,92073,92390,97917,100857,108504,105637,112995,119463,121376,128911,132547,134232,0,0,0
Cradle of Anguish,0,122768,126227,128611,131259,137178,140271,148198,154214,160018,167381,172386,180668,186245,189666,202731,206740,0,0,0
Bloodthirsty Instict,0,122133,132120,132956,135935,143555,145312,157863,158899,165880,168902,175032,181544,187736,194361,199243,205208,0,0,0
Stat Mastery,0,114553,117206,122167,125842,130641,138808,141076,146413,149620,156656,160027,166003,174473,175712,183644,191165,0,0,0
Stormsinger Fulmination Charge,0,106873,113672,114204,114761,120681,126535,132579,135190,141700,145806,151637,156995,162687,166468,176580,179208,0,0,0
Chrono Shard,0,102876,105482,108007,113443,116328,123527,123706,130381,136457,137575,143035,151166,154475,158932,166188,166879,0,0,0
Deteriorated Construct Core,0,67592,68619,76740,76568,81724,88050,87818,94315,95637,105066,110212,112914,116223,125107,129270,137268,0,0,0
PVP Badge of Conquest,0,95177,98288,102949,103448,109129,114251,119629,122899,126117,136423,137237,142049,145170,154749,157815,164246,0,0,0
Aran's Relaxing Ruby,0,81816,85303,87196,91409,90898,96971,96435,104888,102719,108056,111255,117457,115710,122011,125880,127703,0,0,0
ForgefiendsFabricator,0,0,114737,112194,115151,122097,130368,132441,133634,138988,144245,153194,156181,163033,165868,169673,178409,0,0,0
