Trinket,900,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Elementium Bomb Squirrel Generator,0,54107,57155,55157,59285,62940,61734,65003,65893,68360,72528,71035,74846,76541,74860,83522,80295,0,0,0
Eye of Skovald,0,63442,64889,67805,67617,72728,73371,76244,76783,79351,79878,84864,86374,89334,91615,95375,97092,0,0,0
Norgannon's Prowess,0,0,0,0,0,0,0,129800,131786,137346,140382,147518,154372,159012,162788,171362,175912,180446,186998,198576
Wriggling Sinew,0,75242,80011,81513,84632,85266,89699,92265,96006,100615,103786,106037,107465,109920,115475,120446,122928,0,0,0
Dreadstone of Endless Shadows,0,102125,103817,105644,108732,114295,116902,121697,126866,135355,134763,140630,147488,148706,158004,160926,166471,0,0,0
Reality Breacher,0,75759,82093,84278,85991,92814,94672,103367,104679,110978,116208,119076,124681,131688,138102,143571,151958,0,0,0
Portable Manacracker,0,62821,70772,71825,75815,79980,81418,86127,88937,97961,101020,104572,108094,111189,120587,129277,130935,0,0,0
Whispers in the Dark,0,91092,97615,97279,102675,107093,109322,111406,117472,127093,129836,132537,136367,143017,149551,154250,162114,0,0,0
Naraxas' Spiked Tongue,0,91913,93536,95816,100816,102035,105775,110242,114394,122122,120025,127129,130762,133577,140499,143435,151293,0,0,0
Caged Horror,0,68597,67716,71149,71934,73819,75672,79163,83060,81610,83457,90012,91433,94021,94032,97131,104273,0,0,0
Pharameres Forbidden Grimoire,0,64488,62757,66534,68712,70877,72677,76752,77049,79891,82183,83982,88304,90185,92340,92536,96365,0,0,0
Figurehead of the Naglfar,0,40967,41763,42469,42932,46086,45827,48731,45048,48789,51206,46983,50934,50322,52932,53879,54087,0,0,0
Obelisk of the Void,0,79533,84211,84702,86056,91240,92760,96106,101293,100378,105363,107461,111507,114752,116525,122355,128458,0,0,0
Unstable Horrorslime,0,54558,55181,56892,59471,61876,61911,61421,64232,62701,65394,64838,66232,69236,71888,70437,72119,0,0,0
Oakheart's Gnarled Root,0,87574,89412,89565,94797,96326,100631,100637,108658,111536,112768,115903,122808,128782,129538,133317,140861,0,0,0
Padawsen's Unlucky Charm,0,96050,98335,104110,107462,108194,112493,116307,123046,127265,132115,138617,141000,147901,152629,160703,161609,0,0,0
Tarnished Sentinel Medallion,0,169029,175428,180820,189004,195394,202982,210447,220881,230394,240251,247349,259288,268472,282254,291490,305315,0,0,0
PVP Insignia of Dominance,0,90146,93252,93317,96189,99690,102861,105307,110654,111381,116653,122263,124317,127513,135396,137909,142641,0,0,0
Bough of Corruption,0,67179,75144,77194,79972,83777,89124,92906,97216,99461,107663,110400,114171,118498,128595,135220,139477,0,0,0
Norgannon's Prowess 15-Pantheon,0,0,0,0,0,0,0,183149,186777,195866,203899,212395,218227,227108,237572,248775,260562,266864,279746,291386
Charm of the Rising Tide,0,130264,131844,135215,141790,145023,146291,152571,155965,162735,165757,174446,179258,185563,190908,196259,205453,0,0,0
Prototype Personnel Decimator,0,0,110664,114457,119676,120138,130079,132641,135452,142706,149077,152447,156464,164005,173851,178039,183019,0,0,0
Norgannon's Prowess 5-Pantheon,0,0,0,0,0,0,0,145989,149584,156632,164464,169073,176472,181448,189742,194588,205067,209289,218289,227640
Infernal Writ,0,87703,94236,97101,100635,103875,107048,110901,111547,121284,125653,132030,134003,139780,143644,150572,156836,0,0,0
Erratic Metronome,0,94584,98675,103955,103979,111286,112456,117628,120571,124715,129016,138516,139747,144630,153204,155946,162336,0,0,0
Sheath of Asara,0,0,108697,115105,119387,126498,129168,139257,140100,148888,153995,164274,175028,179693,187942,196372,203894,0,0,0
Terror From Below,0,112130,115347,119309,123270,128237,134786,140057,144404,149091,156321,164249,167862,176138,181561,191529,194768,0,0,0
Icon of Rot,0,75778,81004,82835,85229,88705,90857,93762,97368,102858,104101,108429,113392,115806,121128,123970,126445,0,0,0
Stat Crit,0,95117,101429,103534,104745,109802,111910,120775,121563,127614,129829,132536,142573,145497,152108,155938,162452,0,0,0
Moonlit Prism,0,97410,103384,107736,109380,115272,117135,123321,127653,129212,135995,139083,145373,152313,157882,161641,169051,0,0,0
Corrupted Starlight,0,63842,69517,68882,71648,73230,74682,78155,80027,82766,85894,90358,90566,93073,94544,97176,99095,0,0,0
Stat Versatility,0,100192,103421,109239,106887,115652,119803,121343,128320,128693,135455,140736,145491,152859,157201,163145,166484,0,0,0
Deteriorated Construct Core,0,70765,78306,79430,81550,87840,93087,93173,98306,106966,108544,116013,120367,126791,132558,137206,144255,0,0,0
PVP Badge of Dominance,0,110314,112720,116375,122600,125275,128134,132228,140036,143857,148490,155725,158640,163765,168121,174297,183506,0,0,0
Horn of Valor,0,86211,91372,90220,94784,97588,103563,105662,110978,110414,116540,120770,121629,128981,133981,137695,140169,0,0,0
Star Gate,0,76307,81170,84762,89138,93070,100499,102535,109362,110885,116433,117976,130294,136208,139713,150403,154571,0,0,0
Swarming Plaguehive,0,79559,82484,84471,85134,89390,90676,93852,102598,100706,103280,107607,109477,114726,119384,122011,126960,0,0,0
Stormsinger Fulmination Charge,0,93204,93245,99828,100660,107952,111598,110872,118744,123824,125717,131604,137477,138911,147858,153989,159953,0,0,0
Chrono Shard,0,86039,90103,94152,97289,100594,102271,107969,113111,113407,121051,124859,130328,133639,141030,143552,152520,0,0,0
Aran's Relaxing Ruby,0,73345,74604,79805,81980,85845,88599,90840,90921,94568,98821,99588,103904,108958,110280,114318,120379,0,0,0
Stat Mastery,0,104062,104761,105585,110510,113282,120546,123930,128432,129037,137701,141775,145258,149558,160853,163732,169057,0,0,0
Fury of the Burning Sky,0,85877,86725,91580,95121,96303,103359,104033,107895,111785,111519,121825,124857,127763,128988,136349,139358,0,0,0
Aman'Thul's Vision 5-Pantheon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225170
Devilsaur Shock-Baton,0,84531,86082,87089,88287,96044,98352,100317,104315,107978,110017,114100,121787,124836,127474,132383,136788,0,0,0
Unstable Arcanocrystal,0,147816,151940,154677,158182,160872,163312,165628,169668,172828,175290,180230,182810,186190,186802,193639,196481,0,0,0
Mrrgria's Favor,0,62503,62858,64882,68782,73150,73604,74575,77922,79147,81277,85860,87631,88576,95551,94434,99595,0,0,0
Twisting Wind,0,69003,73557,77309,78353,83850,85850,91922,96335,100812,105206,109047,114987,122087,126704,133441,141748,0,0,0
Spectral Thurible,0,91243,94397,97285,99028,104220,106081,111618,113113,117698,121899,123350,129172,135964,140106,143859,154532,0,0,0
Stat Haste,0,95265,99309,103638,104378,108043,114373,115436,122262,127373,127193,134018,141841,142945,148589,153107,158532,0,0,0
Acrid Catalyst Injector,0,0,116451,120042,121994,129240,136837,140575,143507,150298,157292,158296,163539,169714,174336,182432,188678,0,0,0
Vitality Resonator,0,0,120824,127708,130995,137263,143622,145414,151326,158491,167241,172384,175114,182884,189225,199028,205669,0,0,0
Tome of Unraveling Sanity,0,99518,104846,109597,113994,117082,124516,127375,133556,141920,141791,150455,158775,164586,171021,180371,187649,0,0,0
KiljaedensBurningWish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205954
Terminus Signaling Beacon,0,0,131730,137682,142205,146945,152849,158402,165038,173388,178663,186551,192973,198556,209244,213297,224694,0,0,0
Aman'Thul's Vision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206663
Aman'Thul's Vision 15-Pantheon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261722
Eyasu's Mulligan,0,97291,102355,102627,110412,112775,115355,119957,125292,128777,130058,137270,140966,150116,152513,158800,162796,0,0,0
Darkmoon Deck: Hellfire,91662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astral Alchemist Stone,0,0,0,0,0,0,112281,0,0,0,0,0,0,0,0,0,0,0,0,0
