Trinket,900,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Elementium Bomb Squirrel Generator,0,57412,55935,62459,60346,63833,63053,68456,68689,71181,75375,75481,80243,83314,85677,85908,89470,0,0,0
Eye of Skovald,0,67271,65512,67558,69804,70945,72754,76253,80551,83298,82943,85376,88954,90773,93326,96371,96994,0,0,0
Norgannon's Prowess,0,0,0,0,0,0,0,111914,118189,122442,126961,130910,138197,141649,149188,154914,160213,164231,170804,180205
Wriggling Sinew,0,69307,71332,74789,74258,78716,83769,84901,89605,90708,91811,97186,99318,102123,106173,110974,114650,0,0,0
Dreadstone of Endless Shadows,0,91658,95115,98481,103937,104123,109688,111846,115538,118993,122703,129935,135118,136281,143245,150124,152258,0,0,0
Reality Breacher,0,64511,68547,72473,74132,78207,84306,84320,92563,93461,100762,106576,112498,116681,120388,128058,130423,0,0,0
Portable Manacracker,0,63079,64737,71953,73956,81457,81776,85655,87257,93593,98198,105299,110380,114731,119035,124624,128845,0,0,0
Whispers in the Dark,0,79734,82720,86539,92915,97227,96262,100582,105781,109389,115757,118544,122683,127502,132108,139076,146335,0,0,0
Naraxas' Spiked Tongue,0,83066,83589,89990,91149,94083,97852,103448,107742,109056,112901,114896,121792,126237,134866,135918,141974,0,0,0
Caged Horror,0,57592,60776,66130,67299,65644,68253,71361,72534,75122,76982,79694,82316,85220,87840,91292,94245,0,0,0
Pharameres Forbidden Grimoire,0,73917,76739,80149,79262,84796,88339,90140,91855,93742,98868,99938,105950,108678,110059,116569,120451,0,0,0
Figurehead of the Naglfar,0,41567,41182,42594,41847,45481,47022,46889,48326,49218,50105,48665,51019,52474,52077,57596,57802,0,0,0
Obelisk of the Void,0,104540,105020,110723,117104,119055,121027,126485,131975,136410,139263,142274,152865,157263,161261,166727,170694,0,0,0
Unstable Horrorslime,0,54656,54261,53016,59633,57598,62731,61087,61164,61310,66422,67321,66244,68258,70957,70534,75552,0,0,0
Oakheart's Gnarled Root,0,75708,77197,82370,85723,87406,87877,94992,97423,101111,103563,107001,110639,113678,118308,124660,131266,0,0,0
Padawsen's Unlucky Charm,0,79353,88822,90393,91335,96777,100473,106426,106439,110359,118075,120863,128764,130785,136544,136264,144026,0,0,0
Tarnished Sentinel Medallion,0,145839,150472,158908,165634,171985,177778,185757,194729,203274,210739,219462,228476,237386,248071,254749,267094,0,0,0
PVP Insignia of Dominance,0,75821,80726,80056,82093,84120,89898,91505,95680,99641,102543,107245,109632,112567,118614,122890,127667,0,0,0
