Trinket,860,865,870,875,880,885,890,895,900,905,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Elementium Bomb Squirrel Generator,0,0,0,0,0,0,0,0,71452,75306,72344,74350,78269,81363,75727,82401,80452,83494,88085,91977,91471,94205,101494,98854,100440,107586,0,0,0
Eye of Skovald,0,0,0,0,0,0,0,0,71000,73908,76979,76513,81138,81315,89779,86924,87393,91441,91690,96736,95171,102986,102057,105373,106360,112248,0,0,0
Whispers in the Dark,0,0,0,0,0,0,0,0,99692,100214,104785,108501,113458,114598,118363,128215,130771,132894,144355,147933,151394,158147,163556,169282,176007,185796,0,0,0
Portable Manacracker,0,0,0,0,0,0,0,0,65763,69529,70088,75417,78714,85478,84447,87463,93474,101905,103604,109297,115698,117497,125160,130816,135536,142481,0,0,0
Wriggling Sinew,0,0,0,0,0,0,0,0,75176,78867,77768,80768,84370,80601,88610,86086,93938,94126,97853,98284,101966,104194,108972,113845,116228,118474,0,0,0
Norgannon's Prowess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122117,118036,128182,134218,139245,141459,145583,154372,159297,165663,176782,186620,190387
Dreadstone of Endless Shadows,0,0,0,0,0,0,0,0,97342,102166,103681,105475,108734,116329,120424,123187,127881,130515,135033,140707,144272,148011,155400,160723,166559,175533,0,0,0
Reality Breacher,0,0,0,0,0,0,0,0,70418,75871,75941,78765,86737,90466,91195,95945,102375,107876,111159,114410,122867,129715,133066,137741,144171,154773,0,0,0
Naraxas' Spiked Tongue,0,0,0,0,0,0,0,0,63026,66240,63798,68696,72956,72379,77674,78084,77774,85136,86690,91405,92651,96283,98669,105121,106418,112187,0,0,0
Caged Horror,0,0,0,0,0,0,0,0,43817,44650,46748,46164,48714,50411,54090,53936,57070,59058,58661,59827,61410,65475,64618,67704,72743,68845,0,0,0
Obelisk of the Void,0,0,0,0,0,0,0,0,93192,97938,101416,103931,108854,109657,112323,116191,122330,125575,130205,132923,140799,144716,152252,154069,164248,169767,0,0,0
Pharameres Forbidden Grimoire,0,0,0,0,0,0,0,0,68220,67867,70712,73583,75119,77951,74815,79937,81819,83904,87666,89777,87887,93406,95692,97718,104116,103297,0,0,0
Figurehead of the Naglfar,0,0,0,0,0,0,0,0,55236,58238,57371,59042,59741,63699,62908,67986,65411,65394,71110,68559,72497,70739,67008,75466,73937,77748,0,0,0
Fury of the Burning Sky,0,0,0,0,0,0,0,0,58354,59879,59201,64500,66948,71085,71021,71507,77672,77504,80102,84531,89640,94280,92686,93276,102201,104142,0,0,0
Unstable Horrorslime,0,0,0,0,0,0,0,0,68459,70819,69471,73750,74941,73563,74030,76502,78154,80581,82052,81378,87605,87346,86766,91859,90720,93983,0,0,0
Oakheart's Gnarled Root,0,0,0,0,0,0,0,0,75062,75459,78240,84655,86560,84979,87011,92841,95980,100234,102244,106412,109135,112293,114265,118493,126366,125669,0,0,0
Padawsen's Unlucky Charm,0,0,0,0,0,0,0,0,100635,100900,107977,108676,112244,116336,117512,125644,129485,135017,141334,144605,149701,158339,160626,166908,172371,181629,0,0,0
Tarnished Sentinel Medallion,0,0,0,0,0,0,0,0,97580,101767,106940,104593,115835,117641,124131,125770,131971,139374,140470,149707,155522,163678,165740,172600,181702,187389,0,0,0
PVP Insignia of Dominance,0,0,0,0,0,0,0,0,86720,90175,94127,98994,104690,109852,106347,112390,112905,119089,125612,129036,128293,136520,143816,148006,149577,157504,0,0,0
Bough of Corruption,0,0,0,0,0,0,0,0,65797,71701,75628,81120,81954,81538,91084,90506,96640,102214,107339,110284,118142,126284,129912,135034,140062,145708,0,0,0
Stat Crit,0,0,0,0,0,0,0,0,112953,116899,113479,123143,127085,133685,138552,140799,146985,148873,160623,161120,166484,173067,178707,183829,192025,198762,0,0,0
Prototype Personnel Decimator,0,0,0,0,0,0,0,0,0,0,0,102165,103317,108192,109967,118643,117622,122757,127444,130557,134049,139205,142525,150761,154016,160342,0,0,0
Infernal Writ,0,0,0,0,0,0,0,0,82705,88069,89654,94381,97609,101563,106576,106812,112846,110087,119707,124289,126787,133940,142583,145985,150699,154776,0,0,0
Erratic Metronome,0,0,0,0,0,0,0,0,108346,105573,112057,114380,122794,125244,132410,129448,137960,144473,149197,154222,157210,161914,168750,174850,184721,187453,0,0,0
Sheath of Asara,0,0,0,0,0,0,0,0,0,0,0,99009,104713,111562,113958,116864,126554,131736,137684,144000,146175,159458,165071,171994,178002,191066,0,0,0
Terror From Below,0,0,0,0,0,0,0,0,108868,109776,116613,117767,122941,130319,134818,137041,143575,146255,149740,157731,162915,168579,172930,182223,184693,194160,0,0,0
Icon of Rot,0,0,0,0,0,0,0,0,84325,86240,85808,93987,90340,98835,99918,101015,104074,111568,115000,117586,121495,123171,124098,129057,135742,137108,0,0,0
Moonlit Prism,0,0,0,0,0,0,0,0,84061,86688,86514,89066,95573,98893,102586,103098,102661,108492,112493,118311,121362,126725,127009,133772,138443,140690,0,0,0
Corrupted Starlight,0,0,0,0,0,0,0,0,42897,43895,47018,47679,49597,49544,48745,51746,54255,56520,58073,57649,61887,64091,64480,69515,65529,72529,0,0,0
