Trinket,900,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Elementium Bomb Squirrel Generator,0,73116,76804,75539,78914,78746,83501,88588,86613,90174,92995,97417,96229,102712,101980,106106,110008,0,0,0
Eye of Skovald,0,76106,78610,79183,84038,82117,89957,84714,87343,97303,97678,100756,105544,107668,110551,115941,115480,0,0,0
Norgannon's Prowess,0,0,0,0,0,0,0,119864,126310,131375,136003,141654,146379,147653,163867,163542,172145,179236,183064,191796
Wriggling Sinew,0,75733,79980,82425,82582,85473,90058,94420,92220,100442,95938,102000,105316,107596,111586,117409,120786,0,0,0
Dreadstone of Endless Shadows,0,115799,114316,116064,124072,129920,137317,137219,143541,146929,153803,158595,165840,168589,175472,178896,185908,0,0,0
Reality Breacher,0,76467,83204,83232,87030,93558,95860,102027,107063,111768,120542,126216,131801,134228,142554,148690,156456,0,0,0
Portable Manacracker,0,64808,68038,67236,70145,76516,83148,88482,89563,92287,96732,100449,108286,112086,117066,125616,129758,0,0,0
Whispers in the Dark,0,84364,87332,91070,90898,96072,99242,110012,109575,115046,117531,123874,127088,133987,138528,145908,145727,0,0,0
Naraxas' Spiked Tongue,0,81662,83129,90042,87888,88914,96259,98725,102295,108024,113357,115987,117335,124124,133229,135013,137417,0,0,0
Caged Horror,0,66015,67214,69018,77550,78722,75373,80404,82170,82205,87654,89258,93333,97957,99279,103042,108717,0,0,0
Pharameres Forbidden Grimoire,0,94253,95773,95860,99095,104646,105952,108157,107922,114983,119937,123806,123741,124204,129628,132151,137604,0,0,0
Figurehead of the Naglfar,0,56708,58309,56170,60575,62099,62121,62101,62003,69587,68938,70132,71031,68949,75054,76007,75524,0,0,0
Obelisk of the Void,0,102065,109163,110629,107997,113234,117197,121087,123828,127975,129986,134231,139847,139975,146603,150873,153518,0,0,0
Unstable Horrorslime,0,67245,72128,75567,73210,73545,78070,77684,78199,84401,76830,84898,88752,90731,89363,91295,92539,0,0,0
Oakheart's Gnarled Root,0,91859,96835,100155,103047,106651,113019,118951,119035,124984,127914,137082,139708,141974,146491,151878,157033,0,0,0
Padawsen's Unlucky Charm,0,113908,116243,118195,126357,132627,134362,137305,144182,148545,151659,162511,162624,174190,179949,180932,189710,0,0,0
Tarnished Sentinel Medallion,0,110539,111876,117027,121856,125579,133337,137533,142910,143480,154518,159508,163204,169389,179314,186496,194590,0,0,0
PVP Insignia of Dominance,0,92684,91601,96911,100681,101987,101869,111145,112888,117420,118152,124700,129687,135636,139504,143903,151419,0,0,0
Bough of Corruption,0,68887,69900,78129,82971,85209,85906,95564,97635,101797,106831,114279,116933,125536,131978,134254,142948,0,0,0
Charm of the Rising Tide,0,112733,115589,119155,126339,125212,124875,132126,137028,144351,144868,141319,158426,160164,167821,170469,179274,0,0,0
Prototype Personnel Decimator,0,0,130259,132546,137530,144069,150832,151579,158502,162394,169942,171369,175507,187112,188093,195540,198289,0,0,0
Infernal Writ,0,106638,104495,112208,118174,115050,125876,124946,132325,136944,144523,152706,151166,154771,166567,168262,174886,0,0,0
Erratic Metronome,0,127106,131766,135854,140524,149636,151716,154707,157232,169036,167449,173724,182412,190581,191901,199342,206537,0,0,0
Sheath of Asara,0,0,110187,110250,118742,121772,126697,135979,138855,149449,156018,162540,169387,179525,189766,197909,205628,0,0,0
Terror From Below,0,120329,127476,128191,134832,140326,144916,148953,156049,157360,162761,170571,182925,184926,187668,198685,209873,0,0,0
Icon of Rot,0,101676,107663,110101,111484,113843,117070,119235,125728,129473,135657,139910,142220,150180,155053,161171,164447,0,0,0
Stat Crit,0,111955,117750,119166,121780,130999,136238,139114,142653,149984,149660,155214,163463,168254,172391,183327,191142,0,0,0
Moonlit Prism,0,104676,104270,111888,114029,123152,122590,126019,125751,135980,131483,138764,145472,146879,151849,153753,160358,0,0,0
Corrupted Starlight,0,66417,70723,72184,72910,76869,76407,80702,79213,85903,86826,89963,90892,93926,99611,99638,106280,0,0,0
Stat Versatility,0,100480,106221,108510,116171,115092,122071,124872,129756,133161,141408,145026,148540,154977,159383,165904,174775,0,0,0
