Trinket,900,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Elementium Bomb Squirrel Generator,0,59584,57956,64032,61907,63934,66657,68385,70193,73883,73049,75338,80867,80307,83172,87551,86974,0,0,0
Eye of Skovald,0,61002,62188,66136,66081,67861,67369,71523,73262,73059,78820,81141,84429,85473,87260,89107,97030,0,0,0
Norgannon's Prowess,0,0,0,0,0,0,0,108478,111791,111932,119354,122860,127006,130921,139304,141358,145323,153163,159007,165635
Wriggling Sinew,0,61578,65328,66497,70688,67239,70924,73285,76580,77515,79880,83594,84825,87861,91502,91657,94578,0,0,0
Dreadstone of Endless Shadows,0,86914,88773,92503,95816,100054,106210,108669,113653,120013,122592,126896,133109,134892,138442,145345,148491,0,0,0
Reality Breacher,0,67720,68803,73397,76043,82094,83507,87002,94391,97665,103867,104781,115008,120176,125579,132553,137916,0,0,0
Portable Manacracker,0,55423,57997,62303,66333,64485,70017,71492,74752,82099,81385,91865,93872,99611,104413,108904,115233,0,0,0
Whispers in the Dark,0,69935,69467,72674,81499,82805,85299,88040,91865,102417,98114,105730,109718,114920,119538,125485,132362,0,0,0
Naraxas' Spiked Tongue,0,71865,73957,77409,81412,83264,88336,91303,90712,96295,95966,102133,106272,111699,115250,117829,124391,0,0,0
Caged Horror,0,58283,58755,63387,64713,62344,69998,70691,70816,75629,74856,80144,80597,84103,88572,86633,92321,0,0,0
Pharameres Forbidden Grimoire,0,66524,67532,71544,75570,73788,77872,81411,86532,88382,87964,92595,91357,95396,100483,102512,107065,0,0,0
Figurehead of the Naglfar,0,44902,46358,43483,44741,44791,47219,48246,48023,52067,54146,51885,55030,55343,56897,57775,63540,0,0,0
Obelisk of the Void,0,68350,69899,78225,75161,76921,81307,84618,87718,90880,91192,94468,98445,101155,106859,113115,112010,0,0,0
Unstable Horrorslime,0,57606,53893,57462,57417,58963,63142,63723,63782,65696,69986,66988,70490,71884,69487,69159,73471,0,0,0
Oakheart's Gnarled Root,0,86150,86792,87591,91643,93111,94805,99469,103293,109012,114877,115993,123722,125374,127552,134933,138071,0,0,0
Padawsen's Unlucky Charm,0,92150,93129,92835,96219,103169,105505,112025,114650,117710,122858,129397,131523,137748,143031,147843,149552,0,0,0
Tarnished Sentinel Medallion,0,84641,90290,92196,96510,98695,103063,109162,112315,116527,122875,124835,130537,135017,141501,148806,154323,0,0,0
PVP Insignia of Dominance,0,77912,83121,81862,84420,87095,93929,92496,94802,103980,106747,104267,113215,115728,119771,122681,129600,0,0,0
Bough of Corruption,0,59451,63184,65517,67665,70805,77504,79737,82459,86575,93578,96241,101844,105853,110420,116066,122471,0,0,0
Norgannon's Prowess 15-Pantheon,0,0,0,0,0,0,0,142482,147675,153737,156334,165468,174288,178337,187905,193396,202517,210024,218741,228658
Charm of the Rising Tide,0,82170,83753,87144,89907,87327,98061,97373,101486,105670,111831,112703,117484,123720,130902,132970,137386,0,0,0
Prototype Personnel Decimator,0,0,100754,109905,107901,109599,116754,119765,129323,132226,134345,141217,145304,149242,156555,164102,166854,0,0,0
Norgannon's Prowess 5-Pantheon,0,0,0,0,0,0,0,118134,124956,126962,126850,137688,142005,144677,152726,156286,162730,171997,179557,186289
Infernal Writ,0,85838,92405,93350,95818,96185,102561,104988,108743,113415,118471,120360,125363,131262,134434,145549,144213,0,0,0
Erratic Metronome,0,86833,93603,94457,97660,98920,104563,106831,112848,114709,117826,123172,131748,131899,139999,142690,146266,0,0,0
Sheath of Asara,0,0,100474,105167,116115,119648,120650,126558,137307,142662,148056,154794,164712,170478,179809,190527,201040,0,0,0
Terror From Below,0,100195,105014,108432,109012,116202,122523,128043,131463,133264,140956,144336,153305,155604,160997,166705,174731,0,0,0
Icon of Rot,0,80810,87333,88311,92247,94386,96046,100865,103119,105962,106247,112992,118439,122469,127511,130368,135740,0,0,0
Stat Crit,0,89618,94166,98286,100089,105201,108062,112249,116768,118309,124243,132240,135652,138067,144649,148365,154745,0,0,0
Moonlit Prism,0,70248,69432,75813,78236,80301,81175,83713,87803,91315,93412,98358,100904,101673,107150,111670,113568,0,0,0
Corrupted Starlight,0,61275,58085,61144,63561,67013,67394,68854,71728,73673,76018,77859,81922,83801,87125,88381,88403,0,0,0
Stat Versatility,0,88406,93330,94987,98561,99036,106446,112177,113424,116843,118741,126656,128222,137070,138664,150335,151029,0,0,0
Deteriorated Construct Core,0,59438,62668,64425,64222,69379,72223,77663,80450,84759,90414,94443,99686,101190,110664,114272,120673,0,0,0
PVP Badge of Dominance,0,70787,75115,80098,79660,84444,90068,93037,94962,99262,101024,108928,111297,115430,120234,127403,129444,0,0,0
Horn of Valor,0,65566,65966,69563,72355,72234,74141,80351,79282,87110,84750,87584,90360,94703,96980,98762,102863,0,0,0
Star Gate,0,57784,62445,66523,73220,74292,80478,76935,83743,86849,93025,98241,100669,104693,111075,120115,125993,0,0,0
Swarming Plaguehive,0,74929,74446,79420,81206,81360,84635,89834,92759,94874,92561,100791,102793,103957,111024,115543,118055,0,0,0
Stormsinger Fulmination Charge,0,79512,84124,83069,87892,89600,91520,96651,103568,106224,109462,114987,116509,122954,129711,133129,138390,0,0,0
Chrono Shard,0,78902,86077,84651,91682,88297,98655,99729,103426,102283,109189,116748,116346,122571,130717,132569,140174,0,0,0
Aran's Relaxing Ruby,0,61530,61652,62893,68304,68117,68815,69995,75579,76175,78686,81075,85345,84461,89723,94025,95141,0,0,0
Stat Mastery,0,87717,85624,86937,94337,99342,98177,100878,106057,114229,113836,117829,124399,129877,134950,138116,143808,0,0,0
Fury of the Burning Sky,0,69389,70666,73980,77007,77394,80749,85040,87080,91916,92099,97270,96482,102456,107986,110453,116265,0,0,0
Aman'Thul's Vision 5-Pantheon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228684
Devilsaur Shock-Baton,0,78202,81835,84196,88468,88223,91209,92398,95831,100994,102171,109481,113018,116335,123165,120087,130208,0,0,0
Unstable Arcanocrystal,0,149765,154349,157005,158966,162907,162629,166847,169828,178994,179192,179937,184133,192423,189513,192545,201043,0,0,0
Mrrgria's Favor,0,57819,60959,64203,65762,69027,68382,71812,72054,73957,79860,80732,81358,84757,85550,94303,95050,0,0,0
Twisting Wind,0,59247,62012,66242,70955,76146,77178,79874,83922,91929,92191,97063,101551,108176,114812,119413,122958,0,0,0
Spectral Thurible,0,91384,95993,94909,100597,103263,107260,113192,116295,120464,123241,129278,134751,137926,141117,151906,152033,0,0,0
Stat Haste,0,91591,91527,98647,102313,106178,109095,112520,122409,118839,124822,131190,133032,137307,147642,153443,154319,0,0,0
