Trinket,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Arcanogolem Digit,84201,90088,93322,97489,99464,108478,112839,118453,125390,129513,133652,141198,146033,155179,162176,174653,0,0,0
Golganneth's Vitality 15-Pantheon,0,0,0,0,0,0,164570,170654,181445,184921,197603,207023,216112,225695,238640,246457,258651,273148,285253
Entwined Elemental Foci,117410,117837,123509,125987,131119,137266,143225,148959,154682,161503,164849,169856,181294,186055,196090,202315,0,0,0
Draught of Souls,58295,62820,62654,68986,73007,78287,82059,86826,92257,93748,102815,104924,110895,117496,122404,131134,0,0,0
Bloodstained Handkerchief,81296,85467,90679,94251,101629,105017,108056,114301,117575,124890,133951,139139,143695,149996,161166,171136,0,0,0
Nightblooming Frond,97904,107024,113926,114953,123235,128796,135161,141205,145810,154266,163873,172757,176753,184602,193406,204209,0,0,0
Gorshalach's Legacy,0,69471,66868,72624,72014,76633,81190,85235,82961,94254,96373,99503,101184,102771,111443,113639,0,0,0
Void Stalker's Contract,86083,89729,94669,99277,108736,104771,114577,119339,124562,130017,138460,143765,148291,158163,165946,172464,0,0,0
Tome of Unraveling Sanity,101921,104194,106839,113649,116919,123395,127709,135160,139344,148004,151280,159138,168280,169399,179416,186072,0,0,0
Six-Feather Fan,92360,95333,102389,104587,110316,113498,119632,126600,134617,140080,145964,157684,160769,169322,178208,186489,0,0,0
Convergence of Fates,126039,127785,136052,137304,147716,148773,158151,161909,163744,173742,180217,186166,195640,202585,210324,219945,0,0,0
Hunger of the Pack,116740,120072,125390,131392,136902,141144,144017,151825,158568,168478,170221,177062,183752,190307,197590,207050,0,0,0
Bloodthirsty Instict,106537,109895,114853,120194,126078,128381,137057,141898,145050,151714,159786,164515,173246,179466,186030,192868,0,0,0
Seeping Scourgewing,0,105945,105379,113772,116732,121619,126398,130873,137950,142740,144964,150134,161818,163676,173150,175684,0,0,0
Cradle of Anguish,104001,109637,115533,122855,125454,128490,136132,142826,146402,155060,162417,167486,174994,183334,189757,200674,0,0,0
Spiked Counterweight,43505,45855,46815,50197,52113,52638,50945,54990,56305,59811,62399,61644,65422,65833,68134,74371,0,0,0
Memento of Angerboda,112400,116675,121525,127175,130995,137036,141843,151724,154937,160774,168175,172827,178915,187541,194277,202843,0,0,0
Spontaneous Appendages,70940,69112,73234,74461,79246,76698,77087,82048,84801,87119,88073,94286,93444,97699,101166,105358,0,0,0
Stat Haste,99453,103728,105232,110737,113313,117557,125867,127879,134313,142176,145768,152524,160711,166346,171400,179283,0,0,0
Stat Crit,117604,122384,123671,132272,136932,141835,147458,153715,154454,164346,169847,178353,184158,190691,202718,205895,0,0,0
Ravaged Seed Pod,38560,37857,42663,43194,41000,43717,44616,43492,47468,49923,52354,53985,54071,57104,58483,59025,0,0,0
Nightmare Egg Shell,94434,97578,104411,105310,113299,115504,120357,126421,132610,137850,141530,151411,156972,162484,170539,175918,0,0,0
Tempered Egg of Serpentrix,79802,85128,89632,94296,96544,102756,106379,111569,116856,121495,129467,135611,141892,146596,153023,165900,0,0,0
Windscar Whetstone,56260,55952,58511,63693,63989,65599,67262,70651,71382,73968,74256,76496,79646,78129,83682,84877,0,0,0
Infernal Cinders (3 Users),90153,94687,95775,98626,103739,106843,107059,110453,115585,120061,125612,133303,136182,139922,145603,151325,0,0,0
Tirathon's Betrayal,84725,90285,97343,102272,103341,107339,114349,121202,126378,131604,136744,145234,151472,161620,165240,176973,0,0,0
Stat Versatility,109444,116149,117605,126571,131730,132211,139196,143269,151859,153562,160520,168887,177553,183440,191996,196458,0,0,0
Vial of Ceaseless Toxins,98299,102296,106665,112372,118909,123402,128984,136852,142822,148977,160096,163788,173498,181047,188510,198323,0,0,0
Toe Knee's Promise,42114,41888,46205,42704,47781,50063,51348,50038,50611,53575,55262,59727,62861,62527,63996,64807,0,0,0
Nature's Call,76347,76470,78303,80845,80225,82687,86451,85449,91344,87657,94148,94626,96660,102961,99118,101709,0,0,0
Infernal Cinders,82494,88888,91683,91446,97493,97803,103453,106527,109350,116467,116853,118274,126735,131443,134455,140351,0,0,0
Stat Mastery,120573,126490,132267,134196,142018,144603,149042,157434,164452,168127,173222,183934,190322,196470,205911,212902,0,0,0
Tiny Oozeling in a Jar,58866,60954,62579,65108,67589,64782,66721,67458,73288,70586,74727,77831,79430,79462,82254,85310,0,0,0
Chrono Shard,96825,98468,105157,105569,114545,118587,123118,131291,131594,135957,148133,153703,160209,165872,171809,180885,0,0,0
Eye of Command,139057,141520,149835,153420,160397,165442,170177,177978,185859,190551,197596,205217,213001,222769,225819,239375,0,0,0
Shadow-singed Fang,0,125731,132603,136949,142674,144453,151807,156341,163072,171267,176952,186489,189470,199605,209178,217010,0,0,0
Umbral Moonglaives,81379,85081,85947,91502,94698,97359,102174,103169,105054,110641,118505,123862,123318,130136,129747,136645,0,0,0
Chaos Talisman,106121,112453,116475,121650,125812,130691,135398,137608,147321,154364,162227,167926,173965,182327,188005,199707,0,0,0
Specter of Betrayal,112202,122069,127394,133770,137332,147921,151134,158246,167006,174106,180683,190676,197674,209706,221705,230650,0,0,0
Terminus Signaling Beacon,0,59196,63518,63688,63827,64629,71685,68167,72490,75427,75249,78981,82406,85505,83542,85223,0,0,0
Faulty Countermeasure,65525,68907,73513,69731,74382,77580,79489,82013,83545,86595,89300,96955,97293,101404,103582,104405,0,0,0
Engine of Eradication (No Orbs),87726,92219,95221,102007,101731,105038,104068,113724,115333,118154,124590,127006,132624,135767,138691,146235,0,0,0
Specter of Betrayal (No Overlap),92547,101357,107755,109689,115895,120063,125744,133921,140097,144128,152931,158255,167597,176541,183947,189250,0,0,0
Horn of Valor,100675,102191,104488,109561,114836,118756,119393,126169,134274,134576,139689,146159,151983,155576,167088,170758,0,0,0
