Trinket,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Arcanogolem Digit,93208,96184,101172,105803,113264,113660,121696,132033,134285,141602,145752,155657,161353,170269,176468,183747,0,0,0
Golganneth's Vitality 15-Pantheon,0,0,0,0,0,0,173212,182833,187111,198008,205902,217102,226566,240961,251120,265771,272039,289343,297926
Entwined Elemental Foci,126472,134979,136397,142291,147190,152988,158210,165783,173618,179993,185923,193944,200968,207698,214551,225756,0,0,0
Draught of Souls,48387,50432,55638,58163,61391,66332,70059,73396,77810,80618,89953,91679,97410,106217,111953,115897,0,0,0
Bloodstained Handkerchief,90737,95159,100191,101941,107479,116793,117404,122428,129899,137201,144180,150174,159052,166079,174276,183674,0,0,0
Nightblooming Frond,106328,116634,120231,124421,131834,134015,142119,150987,156627,163898,175784,182962,191774,198723,207664,215890,0,0,0
Gorshalach's Legacy,0,68509,70646,71723,76624,78999,82496,85834,89180,89608,94264,98536,102716,104614,113346,111912,0,0,0
Void Stalker's Contract,92328,100921,101448,108963,114170,119452,122425,132255,138246,142025,148181,155727,163234,170794,179753,187502,0,0,0
Tome of Unraveling Sanity,115081,117899,123922,129380,131213,137820,144729,150676,159365,159127,168686,178742,181408,193309,200733,210832,0,0,0
Six-Feather Fan,100018,105299,111725,114989,119270,128545,128459,136128,143533,152647,156731,166667,175803,184284,189691,199031,0,0,0
Convergence of Fates,141684,147099,149117,156373,161250,168972,175615,178717,189861,192681,198094,211850,213234,229988,231287,243687,0,0,0
Hunger of the Pack,132155,134177,140940,144081,146090,154779,161931,165435,173458,181330,186410,199371,203073,209253,218964,229565,0,0,0
Bloodthirsty Instict,119156,117991,127330,128035,136557,141515,143182,151540,153472,162900,169620,179184,185679,194762,200597,209331,0,0,0
Seeping Scourgewing,0,117405,120230,124174,128704,135019,140202,144383,152631,154869,162205,164507,171081,178187,185716,189678,0,0,0
Cradle of Anguish,115800,119928,122241,130049,134878,142047,146124,153839,159085,166883,172826,182095,189374,196884,206224,212158,0,0,0
Spiked Counterweight,47048,46932,49041,49263,52246,50269,53139,56818,57835,63100,63386,65192,62439,69079,70363,73527,0,0,0
Memento of Angerboda,126050,127826,137806,140311,147286,152665,159159,164614,169540,177045,188135,191059,202147,207370,213056,224583,0,0,0
Spontaneous Appendages,81575,77844,83214,87617,82441,89606,90660,92071,95120,101165,101285,103243,109604,107995,111037,117982,0,0,0
Stat Haste,109178,112043,116266,117634,123379,127657,134480,140196,146512,154758,159909,165068,172503,180521,188789,197319,0,0,0
Stat Crit,133377,135333,143384,143777,149277,160721,160637,169658,172853,181823,186925,193651,201355,214606,217632,229600,0,0,0
Ravaged Seed Pod,40724,44253,42145,41416,46471,44496,45334,48096,47518,49622,50521,56668,54243,54805,57700,61148,0,0,0
Nightmare Egg Shell,104400,106283,107466,118705,123113,127103,130636,136538,141902,148520,155974,160711,172308,178048,184357,193031,0,0,0
