Trinket,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Arcanogolem Digit,96212,98199,101375,108336,111589,117247,124114,132564,133118,141506,147924,156597,161528,168358,178859,189365,0,0,0
Golganneth's Vitality 15-Pantheon,0,0,0,0,0,0,172444,183664,187910,197376,208564,216787,231265,237665,250922,264468,272370,284687,302374
Entwined Elemental Foci,130386,135183,144893,147378,150958,155146,162722,171362,179842,185125,192980,197438,208454,214223,223705,233551,0,0,0
Draught of Souls,71258,75850,80657,83432,85722,89622,94428,93524,100871,106010,107676,111910,118689,124966,128511,134452,0,0,0
Bloodstained Handkerchief,90580,95806,99255,105882,111169,115609,120432,126318,134548,140389,147517,154296,158516,171351,177507,184606,0,0,0
Nightblooming Frond,107650,113255,117778,125618,131615,138467,143487,151929,159031,165527,174359,184448,189200,199649,209311,221602,0,0,0
Gorshalach's Legacy,0,70934,72391,74817,74590,83368,82483,85230,90319,92804,97452,100707,107806,112637,113054,121877,0,0,0
Void Stalker's Contract,94265,97489,99323,108992,111777,117516,124304,129230,135208,139817,149852,157818,162417,171311,179272,187906,0,0,0
Tome of Unraveling Sanity,111307,112353,122810,122477,131359,137077,138919,147632,154353,160368,169668,176362,184441,191843,196258,205348,0,0,0
Six-Feather Fan,103322,103326,111658,112207,122173,127034,130801,135645,142869,154201,159129,168467,176351,186129,194080,201561,0,0,0
Convergence of Fates,139746,147919,151066,151910,162241,165823,174902,177128,186016,191142,201400,212140,217030,222787,233651,243235,0,0,0
Hunger of the Pack,141067,141286,151440,156125,158741,168183,174863,176879,182743,192788,200600,207525,213703,223969,231191,243580,0,0,0
Bloodthirsty Instict,118719,127389,131953,135774,139613,145896,154137,160974,165821,170075,179695,186663,195033,201512,207595,218323,0,0,0
Seeping Scourgewing,0,108689,118079,116689,122665,130054,130713,138792,144013,149893,150314,159779,162672,172331,177121,185425,0,0,0
Cradle of Anguish,118886,122838,130961,135825,140772,147471,153486,160017,165952,170864,181385,190644,197635,202883,216092,226631,0,0,0
Spiked Counterweight,46417,50687,48328,49420,50261,52788,55460,56408,60913,60925,62460,66330,64967,71996,70424,74460,0,0,0
Memento of Angerboda,130963,136393,142887,144239,154523,160724,163639,169006,177533,183613,192356,196098,204856,212044,225881,230124,0,0,0
Spontaneous Appendages,73196,75580,80553,79990,87035,81894,88293,92668,92233,94656,97108,99757,103324,106567,109840,109596,0,0,0
Stat Haste,111295,113636,115953,119047,129745,136016,140053,143953,154513,161130,167118,168713,178606,188605,193309,205841,0,0,0
Stat Crit,140803,142612,147231,152753,158845,165578,171744,176430,186148,192392,198672,207872,219105,222877,233230,245240,0,0,0
Ravaged Seed Pod,41242,39974,40656,42955,42524,46351,46830,51041,48859,54218,52545,57291,56460,59808,60746,59831,0,0,0
