Trinket,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Arcanogolem Digit,81660,88128,91101,94798,101274,104940,109028,115556,119615,125860,132330,139168,144828,153111,160101,168375,0,0,0
Golganneth's Vitality 15-Pantheon,0,0,0,0,0,0,171307,178922,187654,196248,204079,219792,226592,236304,247319,257706,273419,285957,301110
Entwined Elemental Foci,101710,104283,109608,113364,120732,119804,127856,134736,140095,143522,148183,156719,164025,169880,178439,183409,0,0,0
Draught of Souls,38029,39494,39945,45256,51957,50906,54489,60382,62552,69879,69737,75712,84072,89550,91673,97356,0,0,0
Bloodstained Handkerchief,80811,85412,90732,94679,100249,103614,107300,114578,118671,123863,132765,135492,147397,149650,159123,164329,0,0,0
Nightblooming Frond,107709,113573,119294,124225,126248,134920,141938,147322,154313,163218,169047,180105,187045,192352,209857,216649,0,0,0
Gorshalach's Legacy,0,59946,62666,61042,64681,67759,70949,73077,77951,80559,84475,88037,87453,92008,96022,100593,0,0,0
Void Stalker's Contract,83351,89302,95216,98307,105718,107926,111263,120776,123068,131521,136487,145189,150447,155918,164776,171743,0,0,0
Tome of Unraveling Sanity,92886,98628,99184,106534,109655,115333,119887,128076,129815,134620,140488,147119,151980,164000,168426,170982,0,0,0
Six-Feather Fan,91634,94180,100249,103467,111280,113921,118035,128063,133459,135265,144762,151456,160572,165629,176384,183461,0,0,0
Convergence of Fates,107970,112385,118464,122923,124279,129003,134577,140597,141955,143569,154423,158963,162783,171880,179001,187065,0,0,0
Hunger of the Pack,114614,116224,119603,122133,128786,134169,138874,145390,148462,156755,162731,169264,175909,182488,190455,197194,0,0,0
Bloodthirsty Instict,95727,102432,105182,110931,117901,117511,120684,128087,132848,138572,142183,148433,156067,160214,166737,175351,0,0,0
Seeping Scourgewing,0,111958,116249,122031,125901,130440,136541,141476,147696,154355,158977,162182,172265,177446,184257,194164,0,0,0
Cradle of Anguish,100656,102870,105889,108597,112718,120430,126410,128921,135742,143811,147313,153518,163388,173422,175507,181971,0,0,0
Spiked Counterweight,42247,39281,45728,43359,47786,48106,50268,53399,54579,57344,55029,59854,64224,64584,65725,68432,0,0,0
Memento of Angerboda,101175,106297,108975,112069,116170,121124,128505,132849,138027,140154,146117,155966,159745,164720,172844,183227,0,0,0
Spontaneous Appendages,58961,59907,62738,65582,66425,70642,70026,70326,76979,77648,81826,83382,87768,91387,91620,98849,0,0,0
Stat Haste,89416,95655,99049,99853,104762,112801,116439,118038,122087,128122,136947,139634,148479,153103,161176,163412,0,0,0
Stat Crit,111777,116021,122581,125174,128310,131315,136811,144382,153119,159302,159743,164671,176098,179076,188348,196618,0,0,0
Ravaged Seed Pod,27372,31695,30377,31482,34124,34352,34615,37904,35508,38492,38347,38525,45881,43020,46783,45963,0,0,0
Nightmare Egg Shell,87356,91970,98696,96778,102980,103653,113831,113867,116286,123698,130911,134668,141309,145819,156973,161540,0,0,0
Tempered Egg of Serpentrix,78184,81182,84091,88449,92358,97609,105944,109962,113310,118068,124438,132006,136125,144537,150926,159164,0,0,0
Windscar Whetstone,45460,42558,49593,47285,47623,47534,53517,52253,52628,53808,56212,56602,61127,59595,61344,66623,0,0,0
Infernal Cinders (3 Users),98294,100782,104300,106408,112444,116693,120077,123215,131298,133646,137718,145062,146411,156727,155941,163624,0,0,0
Tirathon's Betrayal,78134,81381,84558,87414,93768,99814,100952,109328,113059,118929,124161,128325,135303,144778,148804,159076,0,0,0
Stat Versatility,107514,112474,120113,116660,127633,129945,133393,137935,143209,147980,152713,160838,169909,176808,182438,187250,0,0,0
Vial of Ceaseless Toxins,93732,101534,106533,110257,115194,122473,128705,134102,139981,143204,151341,158435,168628,175652,184541,195769,0,0,0
Toe Knee's Promise,34633,34316,35364,37350,41683,37544,40685,40911,40650,39724,45134,46484,45109,47479,54356,48794,0,0,0
Nature's Call,62757,68394,68751,69209,71227,71985,71562,72618,78880,79130,79253,80616,81625,87073,86371,89810,0,0,0
Infernal Cinders,92037,93643,95120,100488,105393,109715,111079,116197,122586,126902,131522,134969,140408,144636,149361,155965,0,0,0
Stat Mastery,103348,109419,111368,114482,118410,124389,130755,136012,136195,146955,152398,160541,163668,174136,177660,183822,0,0,0
Tiny Oozeling in a Jar,47360,45607,47009,46381,51485,50944,53653,54464,55595,56781,54604,62994,61331,59334,64736,66919,0,0,0
Chrono Shard,89966,90874,92685,101846,102022,108192,111910,117880,119637,124917,129812,137669,144707,148096,156262,163277,0,0,0
