Trinket,900,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Elementium Bomb Squirrel Generator,0,58580,60751,64684,65100,68028,71771,72671,74854,74972,78387,79769,81433,84064,84391,86456,87904,0,0,0
Eye of Skovald,0,67469,65819,73395,70697,76787,76163,81664,81581,81517,84977,86745,89645,90936,95909,96588,101087,0,0,0
Norgannon's Prowess,0,0,0,0,0,0,0,142441,147438,151766,156405,166267,168475,176383,182359,185341,193872,198261,207466,218598
Wriggling Sinew,0,66955,68748,68605,69776,74943,73865,76238,75933,80991,86347,86194,87220,94294,93324,96365,100460,0,0,0
Dreadstone of Endless Shadows,0,107427,115794,121891,117796,124851,129387,135368,141915,145541,152127,152642,165278,170142,176837,180252,187634,0,0,0
Reality Breacher,0,72209,73981,76718,83059,84063,88547,92349,97178,100766,104983,111951,115663,122305,127590,131101,141037,0,0,0
Portable Manacracker,0,60950,64192,71939,74718,78846,77026,86106,88689,94283,96399,103034,110734,115766,117986,120331,125913,0,0,0
Whispers in the Dark,0,112427,114200,122371,128089,126886,131823,135094,143901,149669,151711,156660,166427,173325,177952,183306,189851,0,0,0
Naraxas' Spiked Tongue,0,93157,92101,97444,99794,99752,106326,108866,110301,113483,117029,119927,126741,131787,134973,134146,143884,0,0,0
Caged Horror,0,74429,76872,82675,81282,83250,84481,84382,84518,90032,90647,94157,97143,102647,105810,108696,110832,0,0,0
Pharameres Forbidden Grimoire,0,70371,73069,75873,77379,81929,80994,84229,86934,86725,89290,97001,97943,103090,104095,109091,110522,0,0,0
Figurehead of the Naglfar,0,48659,54220,51288,52158,55160,57840,57114,58884,58631,64293,65044,66860,60809,65092,67380,67181,0,0,0
Obelisk of the Void,0,88032,90989,95727,96286,101490,102942,107251,112458,117123,117243,121402,125493,133037,138988,140008,143754,0,0,0
Unstable Horrorslime,0,59761,63288,64280,63262,66519,64291,68089,73164,72476,74010,73336,76413,77786,79417,79043,81835,0,0,0
Oakheart's Gnarled Root,0,79988,82150,81259,84468,90602,90643,94349,93382,100583,101135,103674,112549,117379,121686,120644,124854,0,0,0
Padawsen's Unlucky Charm,0,109358,108992,118955,120226,124097,128116,132803,136823,143574,146640,151646,159663,164932,171471,174876,181525,0,0,0
Tarnished Sentinel Medallion,0,122694,129493,126692,132265,135809,143942,150098,151372,159817,167153,167657,174065,183312,185050,196869,206725,0,0,0
PVP Insignia of Dominance,0,89250,88459,98194,98275,97387,105293,107925,113017,113270,118173,122934,127825,132585,137247,139314,145322,0,0,0
Bough of Corruption,0,62431,66975,69338,74550,78295,82750,85219,91947,95883,100964,104147,106206,115049,119330,123039,135009,0,0,0
Norgannon's Prowess 15-Pantheon,0,0,0,0,0,0,0,187105,190200,197309,205950,216336,222561,229959,237883,250897,259623,269266,284532,290002
Charm of the Rising Tide,0,101643,109140,112043,115892,116195,126416,129353,136729,140760,143994,153908,156604,163877,168952,175594,182700,0,0,0
Prototype Personnel Decimator,0,0,103711,106329,108011,113581,113948,120885,126249,126220,135857,142765,144640,148806,152897,161396,167726,0,0,0
Norgannon's Prowess 5-Pantheon,0,0,0,0,0,0,0,159990,161905,165531,175548,179971,183933,194716,203372,208728,216466,220929,230342,243971
Infernal Writ,0,103948,101908,108158,111092,115970,119608,119654,128863,132174,136454,145948,149889,157020,158011,163185,169820,0,0,0
Erratic Metronome,0,107722,111289,113646,118829,123108,124832,129553,137742,139492,144156,154843,159881,160770,169521,174888,180463,0,0,0
Sheath of Asara,0,0,94660,102862,106166,111458,117557,121653,129052,136482,143687,148766,157318,161344,168269,176114,184079,0,0,0
Terror From Below,0,101205,107220,109824,111771,117305,123681,127620,132024,132664,136161,144309,149623,154428,158690,163399,174411,0,0,0
Icon of Rot,0,82729,83552,86160,86535,92334,96264,96601,103249,103760,108531,109324,113606,118276,120931,122577,126926,0,0,0
Stat Crit,0,107255,107204,111065,116421,124059,123804,131780,133268,139774,146940,151898,156378,164630,167238,170716,179912,0,0,0
Moonlit Prism,0,78240,80582,87016,85736,89353,94663,95317,98848,102029,104762,109711,113052,117447,120486,123867,128827,0,0,0
Corrupted Starlight,0,72951,77280,78196,80406,79807,83257,86842,88966,91258,92545,96355,96421,98543,102942,103309,108567,0,0,0
Stat Versatility,0,97605,105859,108230,110033,115101,119925,125726,129538,133133,141125,142485,149483,151887,155783,168295,168190,0,0,0
Deteriorated Construct Core,0,65678,67357,70583,77236,79120,83020,85016,87953,93721,97800,101593,107963,115050,118178,128060,131185,0,0,0
PVP Badge of Dominance,0,92797,97402,101849,104331,111526,113900,117150,124917,128186,131401,131839,141716,147964,151132,157317,163142,0,0,0
Horn of Valor,0,84763,93098,93548,96604,98993,101882,108261,111208,115525,118460,125130,128614,131302,135988,141186,147227,0,0,0
Star Gate,0,68053,72113,75446,79988,81824,87565,87110,93459,100493,108240,104955,114328,117615,121104,131295,137477,0,0,0
Swarming Plaguehive,0,76116,81653,79526,86279,84793,88825,95485,98038,101823,103671,106583,109127,111259,114259,121097,119481,0,0,0
Stormsinger Fulmination Charge,0,105024,109314,114725,118126,126345,125490,131911,132903,142671,145129,150747,152642,160124,165360,174848,176517,0,0,0
Chrono Shard,0,104868,107465,113609,116236,121925,123647,132458,134652,135947,143343,151342,152037,157544,164890,170328,178423,0,0,0
Aran's Relaxing Ruby,0,79153,76993,83527,86829,89493,88559,90985,93626,95947,97369,100421,106175,108570,113021,113461,118300,0,0,0
Stat Mastery,0,115425,116852,121355,123923,130375,133865,136994,142437,149245,150965,158996,164354,170523,176644,181442,189592,0,0,0
Fury of the Burning Sky,0,88121,88170,92397,92555,97949,99338,102905,106719,108748,112397,118230,121379,124438,129367,129935,137885,0,0,0
Aman'Thul's Vision 5-Pantheon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272936
Devilsaur Shock-Baton,0,81068,83455,87839,90210,90843,96616,100667,101891,102197,108439,109992,115613,116239,120066,127498,131886,0,0,0
Unstable Arcanocrystal,0,179506,183690,184703,195144,195804,198278,200529,209093,211573,213835,219385,222873,231445,233132,235504,241778,0,0,0
Mrrgria's Favor,0,71226,70724,73023,74515,77871,78313,81902,85660,89186,91107,94945,93472,101167,98745,102628,107472,0,0,0
Twisting Wind,0,63658,68235,66019,76813,78085,80976,85078,89815,91175,95290,100792,110615,110753,119337,126207,130479,0,0,0
Spectral Thurible,0,83160,82473,89533,92312,94512,102279,99977,104697,105585,110777,113418,116482,122593,128546,133268,134203,0,0,0
Stat Haste,0,106840,112929,112499,118983,119931,128883,130965,135853,140270,145299,149699,157707,161541,167642,175132,178112,0,0,0
Acrid Catalyst Injector,0,0,144476,151990,154447,159799,167246,169206,176289,177615,185134,192288,200968,207368,212753,220472,231405,0,0,0
Vitality Resonator,0,0,98031,100045,104564,107791,109327,114745,117297,121970,124609,131313,137433,142366,150594,155224,157672,0,0,0
Tome of Unraveling Sanity,0,96152,99284,101124,109129,113690,116913,120386,122330,131070,136147,143333,150353,154142,162332,169336,176951,0,0,0
KiljaedensBurningWish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228837
Terminus Signaling Beacon,0,0,100178,96201,103750,106316,110278,112972,115383,121438,127035,128049,132619,138917,142021,147140,151788,0,0,0
Aman'Thul's Vision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257559
Aman'Thul's Vision 15-Pantheon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311401
Eyasu's Mulligan,0,103122,110305,112396,115255,120553,126088,129228,133951,137896,143705,147833,155024,163355,167672,176492,182150,0,0,0
Darkmoon Deck: Hellfire,106386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astral Alchemist Stone,0,0,0,0,0,0,107374,0,0,0,0,0,0,0,0,0,0,0,0,0
