Trinket,900,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Elementium Bomb Squirrel Generator,0,50023,53358,53641,54823,55689,61276,61558,61137,62368,65045,66082,68143,68073,72393,74296,73665,0,0,0
Eye of Skovald,0,53198,55001,55475,57821,59342,59534,61902,65518,70475,69816,65678,72028,74438,77778,77874,83264,0,0,0
Norgannon's Prowess,0,0,0,0,0,0,0,132417,138426,140840,144423,153305,155573,161606,170165,173891,176203,187346,192647,204202
Wriggling Sinew,0,53715,55737,57439,57824,55248,61066,62971,62545,64937,66544,67811,72620,73648,75340,79262,81640,0,0,0
Dreadstone of Endless Shadows,0,105264,111989,110701,119535,121722,126994,128929,137901,140016,144785,149867,155390,164505,164531,173704,179209,0,0,0
Reality Breacher,0,64128,66599,71686,73933,78642,81361,83938,89737,92961,99391,103378,107564,110713,114043,124024,129491,0,0,0
Portable Manacracker,0,56253,58843,61978,64907,68879,71346,75547,76923,80318,84169,91121,93335,98609,101765,107765,111842,0,0,0
Whispers in the Dark,0,107484,114647,118531,122293,129695,135392,134517,142117,146747,153824,156776,165328,172112,179446,185483,192389,0,0,0
Naraxas' Spiked Tongue,0,77187,82888,83037,83957,85464,89512,90759,94035,96628,100862,104627,110306,110054,113942,118448,122782,0,0,0
Caged Horror,0,63547,65437,65623,71021,70452,74011,73655,76135,78269,80730,80706,83734,86188,88600,90860,93592,0,0,0
Pharameres Forbidden Grimoire,0,68702,70582,71903,71701,73354,76155,79140,83171,85184,87026,87308,93176,92649,98251,98252,102962,0,0,0
Figurehead of the Naglfar,0,40021,40198,41228,42281,43416,43295,47264,46525,47646,46219,47184,50313,51743,52221,54118,54725,0,0,0
Obelisk of the Void,0,89667,90717,92034,97872,101956,104449,106538,108923,113423,116540,122254,125584,131470,133870,141825,143496,0,0,0
Unstable Horrorslime,0,50863,48395,50368,50288,53782,55343,53200,57499,56539,59222,60762,56983,62904,66804,66187,64582,0,0,0
Oakheart's Gnarled Root,0,73242,76332,75946,79712,83360,85134,86696,91135,94539,95865,96792,100799,101053,107790,111549,113915,0,0,0
Padawsen's Unlucky Charm,0,99173,104073,105924,110825,112113,119035,122213,126583,133338,134709,142795,147145,150909,160916,165068,168786,0,0,0
Tarnished Sentinel Medallion,0,89430,92457,94851,97505,101187,104990,109450,111144,117844,117586,124653,126546,128326,136274,138150,147149,0,0,0
PVP Insignia of Dominance,0,86626,90416,93154,97173,100487,104112,107641,107610,115579,117809,122019,127564,127353,132660,142230,147142,0,0,0
Bough of Corruption,0,58472,61693,63858,69533,72990,75748,78634,86242,87766,92333,95501,101719,107225,110127,116623,123423,0,0,0
Norgannon's Prowess 15-Pantheon,0,0,0,0,0,0,0,161716,168416,176674,180247,188285,196679,199607,210482,220980,226007,237168,245567,256157
Charm of the Rising Tide,0,115574,122638,122236,129313,131597,135835,144404,145743,151814,157807,162450,168477,173439,176498,182733,192178,0,0,0
Prototype Personnel Decimator,0,0,90631,95546,95116,102711,103547,106681,113461,113562,118296,123064,126043,131585,133932,138964,147315,0,0,0
Norgannon's Prowess 5-Pantheon,0,0,0,0,0,0,0,140148,147006,152180,158367,165346,168281,177830,183228,190154,197996,202339,211746,220731
Infernal Writ,0,87702,90204,94154,97569,97446,104537,108963,111946,120132,121957,126988,134665,134577,140688,146718,150527,0,0,0
Erratic Metronome,0,107644,113559,113720,121433,126398,128756,133131,137919,144323,150161,156614,159091,165217,175302,179420,181789,0,0,0
Sheath of Asara,0,0,82233,86053,87629,89565,100630,105255,107017,110484,116840,123730,130277,135676,142017,150493,155061,0,0,0
Terror From Below,0,82904,83582,88017,91550,94295,95256,101291,102593,110175,110685,115618,115538,122071,127390,134361,137893,0,0,0
Icon of Rot,0,66677,65171,70553,70797,71040,73374,72961,79645,82855,82471,86162,89687,93385,92773,99783,102789,0,0,0
Stat Crit,0,93774,98856,100433,103061,108038,108988,115292,117583,121238,127691,134435,139913,142656,147586,155328,159820,0,0,0
Moonlit Prism,0,70914,73026,75586,80064,82522,83544,87862,88738,91463,93941,97207,99061,100725,108187,107050,108366,0,0,0
Corrupted Starlight,0,64249,65195,66064,70818,70175,68345,72249,74267,77410,77251,81260,82998,87738,91535,92067,91706,0,0,0
Stat Versatility,0,99946,102553,105150,111055,116966,116889,124064,126837,134091,136365,140621,147981,151259,157321,162664,171588,0,0,0
Deteriorated Construct Core,0,59681,63864,68761,68398,72829,77344,82077,85002,90006,95059,96592,105001,109491,109982,121139,124905,0,0,0
PVP Badge of Dominance,0,91234,94171,99096,100871,108453,111009,116229,121384,121916,128753,133246,137205,143473,151231,156345,159171,0,0,0
Horn of Valor,0,88169,86872,90999,93935,98854,99004,104842,107414,112698,115106,120039,125704,126799,132640,136957,139321,0,0,0
Star Gate,0,62391,66907,72354,71295,77225,79081,85898,87873,93525,97002,101170,108555,114152,117214,125498,126158,0,0,0
Swarming Plaguehive,0,73447,77273,76993,80575,84111,86201,85333,89578,93950,95976,101031,103525,107202,106219,112510,118910,0,0,0
Stormsinger Fulmination Charge,0,96828,101502,108519,108444,112859,115965,120895,123914,128150,135609,136143,141973,151508,155613,160271,166959,0,0,0
Chrono Shard,0,109383,113594,117221,120121,124271,126507,133319,137967,143038,148300,153226,162200,163386,166995,175717,180991,0,0,0
Aran's Relaxing Ruby,0,73790,69604,72763,74982,76727,78485,80147,83689,85501,89578,90999,93339,93314,96957,100122,106217,0,0,0
Stat Mastery,0,100988,110465,111807,115795,121565,121561,127300,133181,136620,143861,148049,152327,155817,164883,167358,177203,0,0,0
Fury of the Burning Sky,0,77215,78123,81145,78522,86191,86962,90472,92915,94298,99143,98373,102886,105270,110686,116958,117682,0,0,0
Aman'Thul's Vision 5-Pantheon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256106
Devilsaur Shock-Baton,0,66867,67990,72879,71727,72957,74740,79332,82705,83173,86262,90492,90561,94116,100201,100049,105345,0,0,0
Unstable Arcanocrystal,0,167629,168788,173297,176625,178498,182045,189080,191869,193035,197696,199975,208524,211719,216742,221307,226716,0,0,0
Mrrgria's Favor,0,51815,54205,59988,58040,61167,60339,63598,66631,66240,69780,70632,74069,77705,77160,82267,85089,0,0,0
Twisting Wind,0,62165,64233,68279,68656,74243,76987,79266,83826,87605,94211,94331,100403,105882,114196,115503,122754,0,0,0
Spectral Thurible,0,77137,77761,79027,85620,85095,85035,89897,92312,95574,101784,104285,108678,107831,112144,115673,119555,0,0,0
Stat Haste,0,101336,110196,113802,115236,120271,125489,125432,134345,136875,142390,149037,152423,160541,167686,171446,180671,0,0,0
Acrid Catalyst Injector,0,0,110401,117374,119039,124747,130391,131403,137345,143252,144395,156213,161828,166938,169904,177717,179738,0,0,0
Vitality Resonator,0,0,88701,93406,93526,100330,103991,106201,114430,117115,117667,122643,127909,129680,131040,141574,141950,0,0,0
Tome of Unraveling Sanity,0,83922,90398,90242,96468,98399,101979,110201,110874,112162,122222,129139,131127,139614,141207,147815,153973,0,0,0
KiljaedensBurningWish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210392
Terminus Signaling Beacon,0,0,78083,77702,81172,78532,89276,89838,91640,93403,96879,102030,103592,108409,108980,113458,116954,0,0,0
Aman'Thul's Vision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238159
Aman'Thul's Vision 15-Pantheon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294081
Eyasu's Mulligan,0,101760,104199,106045,113206,111122,119274,121457,129789,132349,136079,141581,146036,150907,157254,164281,169023,0,0,0
Darkmoon Deck: Hellfire,93358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astral Alchemist Stone,0,0,0,0,0,0,111377,0,0,0,0,0,0,0,0,0,0,0,0,0
