Trinket,900,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Elementium Bomb Squirrel Generator,0,53691,57014,58374,57782,59008,60080,62773,64128,66466,69721,66455,70225,70994,75878,77338,78156,0,0,0
Eye of Skovald,0,57122,61016,59268,62206,65447,67078,67347,67838,69845,73598,73473,74538,76520,81226,81815,84386,0,0,0
Norgannon's Prowess,0,0,0,0,0,0,0,131948,135259,145092,147167,150173,161672,162687,169102,177650,180742,189149,198949,207178
Wriggling Sinew,0,58842,63699,63263,66310,65487,66288,71204,73215,73142,79637,79607,80067,82030,88018,89546,93830,0,0,0
Dreadstone of Endless Shadows,0,98733,102272,107455,112333,116552,119805,121589,125521,133118,137397,145749,146237,150664,158296,166101,173099,0,0,0
Reality Breacher,0,65955,72750,73470,75233,82071,83905,89547,95840,94954,102818,105272,113792,116793,123604,127194,134348,0,0,0
Portable Manacracker,0,66177,65701,71668,71769,79659,81470,82307,87362,95066,100981,103053,107602,113613,115576,126316,129595,0,0,0
Whispers in the Dark,0,92983,96228,101450,104202,105900,109579,116199,122043,126884,131780,135063,144323,147891,151324,159798,163235,0,0,0
Naraxas' Spiked Tongue,0,75762,76581,77887,82708,83587,86358,87030,95627,93040,97661,100845,102778,105994,109512,117810,119928,0,0,0
Caged Horror,0,58991,60898,63217,62623,63619,68290,69459,69049,72161,74843,75985,76996,80727,82761,82351,82649,0,0,0
Pharameres Forbidden Grimoire,0,63411,62965,68266,68046,71410,72517,71897,76739,77145,82686,79810,87339,90118,91681,95922,94827,0,0,0
Figurehead of the Naglfar,0,42841,44485,44806,48012,46610,48187,47225,50058,53028,48357,52282,54032,53755,56053,56266,58697,0,0,0
Obelisk of the Void,0,85501,87077,90832,95346,101328,102089,104070,110455,112414,117869,118887,124747,131167,133721,139262,144700,0,0,0
Unstable Horrorslime,0,52534,53130,53104,55202,55227,56762,57405,59179,60161,61495,62924,62043,67335,67318,64844,69943,0,0,0
Oakheart's Gnarled Root,0,71445,73877,73686,77712,78358,84833,86737,90691,94079,91929,96430,98627,101875,106114,111086,114821,0,0,0
Padawsen's Unlucky Charm,0,99755,103915,106686,109257,114346,120963,120457,125277,132580,136437,141215,147764,155210,158122,162125,170228,0,0,0
Tarnished Sentinel Medallion,0,103740,106896,110884,113919,119252,121870,126373,129943,135751,138538,144454,150323,155284,160740,169196,174454,0,0,0
PVP Insignia of Dominance,0,93922,96901,98470,101565,104844,110236,112115,115791,118461,121621,126731,131001,135517,140199,147919,151936,0,0,0
Bough of Corruption,0,61736,65192,67747,70522,76179,81726,82996,87251,89573,93856,98893,106080,112512,115457,120549,129176,0,0,0
Norgannon's Prowess 15-Pantheon,0,0,0,0,0,0,0,167105,174063,183622,190109,195153,203143,209293,216653,228283,237149,249903,252808,267340
Charm of the Rising Tide,0,99446,100062,107633,113378,115595,119825,120741,128126,133477,136202,141598,146916,150139,158877,163793,171368,0,0,0
Prototype Personnel Decimator,0,0,87006,84960,91513,93362,99067,102048,106721,110610,112657,116429,124762,124338,128667,133627,137324,0,0,0
Norgannon's Prowess 5-Pantheon,0,0,0,0,0,0,0,144446,150344,151507,160441,166349,172612,178013,185443,191589,201822,208494,219846,226578
Infernal Writ,0,91492,100281,103771,101746,108597,112281,116451,120424,122511,129446,136306,141933,141572,147734,153676,159628,0,0,0
Erratic Metronome,0,100948,107967,106193,111077,117712,118532,124910,129602,132132,139858,143562,148572,152450,159673,165856,173595,0,0,0
Sheath of Asara,0,0,83789,88236,92373,96107,100524,104819,108636,114667,119826,125853,134604,140597,148711,156710,161608,0,0,0
Terror From Below,0,85143,90004,92114,101870,99721,104731,107686,111525,116618,122248,122444,128861,134924,137786,144181,146527,0,0,0
Icon of Rot,0,66819,69726,73008,72125,74499,78979,82617,83233,85033,87169,93438,92764,95823,97404,101014,107845,0,0,0
Stat Crit,0,99203,102241,100641,107419,114392,119050,119455,125715,129278,130997,139526,141630,148738,157082,160712,166210,0,0,0
Moonlit Prism,0,81444,82392,87382,86236,87725,94110,95972,100258,102779,106759,109963,115339,117908,123453,126498,130032,0,0,0
Corrupted Starlight,0,60118,60700,61183,62011,63763,66167,67340,68837,69797,71275,75119,74139,79515,81388,82587,86325,0,0,0
Stat Versatility,0,97695,101055,107112,110458,112123,118621,123280,126945,131271,133864,142535,148171,150249,156676,162518,167572,0,0,0
Deteriorated Construct Core,0,65229,71805,73320,75014,77329,83528,84676,87709,94926,97687,103858,109973,113740,120410,122810,128871,0,0,0
PVP Badge of Dominance,0,101464,107585,105716,111758,114842,121397,124978,129412,134283,138978,142687,149901,152195,157339,161570,171566,0,0,0
Horn of Valor,0,92922,93653,97231,102545,104492,111196,115774,114490,119555,124850,128882,132696,136307,142387,149255,154868,0,0,0
Star Gate,0,68292,69005,74063,78192,82170,84920,89697,93595,98778,103958,105785,110547,118549,123577,127676,135235,0,0,0
Swarming Plaguehive,0,67021,72800,73569,74663,79955,78017,81939,84623,88230,87620,90431,94114,100253,102112,101031,107469,0,0,0
Stormsinger Fulmination Charge,0,99627,103989,105321,108189,110980,114885,123154,124005,130788,133419,141805,147247,152169,154818,161505,165391,0,0,0
Chrono Shard,0,96020,102835,101423,108187,108891,114631,118895,122404,129155,130434,140163,142371,149889,150254,159135,161746,0,0,0
Aran's Relaxing Ruby,0,66558,66324,68015,68255,69410,76078,73492,80858,78827,79468,85650,90432,89254,94880,96190,95984,0,0,0
Stat Mastery,0,100072,103206,107376,113029,115793,116231,123973,122739,131643,134673,145967,147275,150729,156676,162007,168548,0,0,0
Fury of the Burning Sky,0,73466,74312,76523,79202,80478,85261,85830,90713,91765,97477,96712,101041,102812,105705,112429,114931,0,0,0
Aman'Thul's Vision 5-Pantheon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234942
Devilsaur Shock-Baton,0,68333,71793,77802,75164,81439,78758,85201,88585,88821,91691,94732,99800,101213,105653,109697,113701,0,0,0
Unstable Arcanocrystal,0,154432,155233,156406,160745,163592,166702,168038,176280,179275,186683,183354,191076,190250,195406,197505,200245,0,0,0
Mrrgria's Favor,0,60697,62448,64464,68447,68734,71097,70480,73386,76687,81640,84733,84711,87033,87989,93842,94511,0,0,0
Twisting Wind,0,61627,68358,68330,74775,75903,81599,84708,88050,91209,94873,99055,104790,113041,115551,120844,126180,0,0,0
Spectral Thurible,0,73876,79493,78221,81568,83093,92569,91455,94556,96683,98183,104182,107480,112002,114476,119214,121614,0,0,0
Stat Haste,0,96338,102246,104414,109663,114235,116606,122335,126057,132348,135746,140959,145164,152090,156360,163141,169610,0,0,0
Acrid Catalyst Injector,0,0,131873,135468,139858,142734,149846,153910,160032,165782,168499,179504,182079,190316,195911,202039,205574,0,0,0
