Trinket,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000
Entwined Elemental Foci,101591,109060,108984,111737,122820,120471,127363,133017,138578,140411,150309,152573,157351,161298,173238,175598,0,0,0
Ursocs Rending Paw,85738,91939,95557,101731,108527,109079,116546,118135,129565,132677,137189,143944,149755,157927,167690,171037,0,0,0
Draught of Souls,-7903,-1196,8381,16152,27267,29937,42638,47512,58190,63337,76199,92255,101361,107951,123693,137559,0,0,0
Bloodstained Handkerchief,76846,81837,84149,89577,98784,95901,101361,105201,112430,119186,118948,130774,135273,145087,145910,156710,0,0,0
Claw of the Crystalline Scorpid,73093,70899,73782,84468,82457,89998,90804,91376,100160,107903,113973,120590,122735,126854,131244,139245,0,0,0
Convergence of Fates,208855,214192,220229,221025,225651,229100,236308,232636,243387,246284,248979,253327,262299,262433,269310,278972,0,0,0
Hunger of the Pack,96630,94968,100770,107377,108791,111553,115897,118583,125529,131455,132410,137717,140843,152847,156278,160735,0,0,0
Seeping Scourgewing,0,118624,130344,131627,137385,140328,150395,151671,157023,167028,173321,175902,177805,189080,198931,201633,0,0,0
Ettin Fingernail,107023,109620,114434,116210,120279,121136,130241,136520,134054,138557,149099,151557,152635,166097,167499,173442,0,0,0
Might of Krosus,73001,78704,80720,91174,91848,93961,100590,105009,111267,114662,120644,126892,132814,139889,150388,154484,0,0,0
Cradle of Anguish,120563,121714,120346,132295,132501,134093,141681,146019,149647,155161,159188,165980,170627,174183,182648,190555,0,0,0
Spiked Counterweight,77368,81139,80799,84557,88847,89791,90535,92214,94267,95407,96907,103693,103977,110834,109141,114079,0,0,0
Memento of Angerboda,102153,108845,113901,114770,122416,121601,125850,132677,139363,138456,146541,154321,154106,164423,166437,172230,0,0,0
Fel Oiled Infernal Machine,103268,110051,112993,120147,121656,126502,134424,137325,142138,147174,153614,156856,167047,170361,177641,183605,0,0,0
Spontaneous Appendages,93839,97509,98060,103820,104740,109388,113042,112419,118478,125187,131287,136574,137119,140219,145220,151613,0,0,0
Giant Ornamental Pearl,63330,60340,64564,67323,64814,68782,71067,69747,75244,78321,77231,78178,77454,81691,86291,85585,0,0,0
Khazgoroths Courage 5-Pantheon,0,0,0,0,0,0,154317,165244,170047,177713,186825,192289,208402,213868,223665,230986,245398,255315,268142
Faulty Countermeasure,90419,94900,93363,98093,102550,106087,106701,116157,115895,120388,124254,126226,137222,139433,145065,148893,0,0,0
Khazgoroths Courage 15-Pantheon,0,0,0,0,0,0,193705,203063,213157,220947,231022,239895,254744,257710,268824,284110,293896,304071,320506
Chrono Shard,106871,106771,111257,114795,120699,122244,128894,135698,139131,144567,147400,156439,159345,165270,171873,178252,0,0,0
Vial of Ceaseless Toxins,84980,88685,91419,97934,106628,104441,113724,116213,121741,130708,132827,143502,149388,155400,161897,170565,0,0,0
Toe Knees Promise,101310,104809,107759,109766,118705,114330,124533,124726,127659,132151,137041,146248,144363,152620,154557,163514,0,0,0
Stat Crit,90583,99130,101364,104716,108912,116114,114854,122001,128677,132480,136557,138102,149574,150334,155455,159435,0,0,0
Ravaged Seed Pod,79928,82263,81586,85254,86494,90836,94326,91528,94473,103037,95589,106247,108809,112984,114091,113316,0,0,0
Void Stalkers Contract,92177,94970,97325,106907,114181,117888,122877,126405,134451,141979,147402,152643,161696,170146,175110,186937,0,0,0
Stat Versatility,99428,105259,110695,112415,119249,122178,125976,129160,140513,143096,143299,146420,155150,166036,166881,168009,0,0,0
Engine of Eradication_NoOrbs,83906,85279,85942,89197,93064,93166,94191,98182,102938,106743,109282,111587,120663,119644,123931,124461,0,0,0
Natures Call,96252,97514,98788,104717,104029,109240,106910,117145,115477,114327,117760,125442,127808,129535,138089,137336,0,0,0
Unstable Arcanocrystal,171481,172040,177409,178523,184269,187937,187822,191838,193449,202372,209156,209154,215032,219298,224308,229768,0,0,0
Stat Haste,108519,112937,117455,122006,126420,131957,129885,137346,139784,148907,154202,152347,159276,170206,172393,178798,0,0,0
Terrorbound Nexus,86818,92081,92149,96293,99176,99198,102087,107968,109833,114149,120783,120799,123424,129734,137953,142202,0,0,0
Mark of Dargrul,68075,66032,68073,73294,68849,76782,76119,78964,84510,84459,87611,90445,91540,94618,99809,101992,0,0,0
Specter of Betrayal,108879,112875,113451,119813,126344,131034,139723,146278,149866,159688,168250,178851,186871,193804,208240,216150,0,0,0
Khazgoroths Courage,0,0,0,0,0,0,136353,144331,149476,164008,167169,175097,182371,190029,199089,209697,223384,228052,245491
ForgefiendsFabricator,0,103704,104444,103906,110986,117088,117998,123394,128632,130981,136050,142818,146489,155229,160347,160733,0,0,0
Windscar Whetstone,71875,79981,81811,81857,86015,94113,89535,93892,98469,99779,105903,104793,106450,112126,117154,118462,0,0,0
Eye of Command,114056,119699,121496,119372,127163,129341,138713,144537,149026,150864,157275,162954,167907,172313,182415,186306,0,0,0
Specter of Betrayal_NoOverlap,86054,88522,94676,96179,95565,105153,117011,119802,123992,132501,135321,143357,150787,153715,164285,171010,0,0,0
Tiny Oozeling in a Jar,94676,97982,105968,111014,110371,115619,120089,124106,123024,128923,138281,143085,144960,154825,156070,161619,0,0,0
Stat Mastery,103672,111234,109649,117285,118821,125205,128158,135034,135014,143232,145066,152788,158241,163498,171380,183553,0,0,0
Umbral Moonglaives,101412,110960,109856,116539,115894,127334,126369,135109,138029,141515,147688,156146,160595,168040,178890,185134,0,0,0
Chaos Talisman,116642,121939,122274,128914,131027,137966,138430,146972,150758,154635,157705,166202,172849,177961,181930,189717,0,0,0
Terminus Signaling Beacon,0,80641,79832,80395,82498,86228,88828,93339,94458,98246,99735,104145,108536,108911,115552,117709,0,0,0
Horn of Valor,89835,97906,98877,101386,95737,101752,107396,115102,111233,119466,120794,127066,131196,136596,138038,146295,0,0,0
Aman'Thul's Vision 5-Pantheon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256676
Nightmare Egg Shell,99857,105720,111262,112261,113800,119218,126691,130466,132034,138213,144960,147497,155920,160835,165873,167614,0,0,0
Infernal Cinders,88498,94706,98876,98187,104220,105990,113533,116172,124228,123589,126981,131918,132517,145124,145858,157977,0,0,0
Engine of Eradication,108095,111442,115273,116973,123080,124126,128854,135753,138466,145175,151176,157573,160220,165228,170889,180694,0,0,0
InfernalCinders_3Users,93781,98772,100936,105752,111296,113277,118885,126257,126992,130811,135940,142784,151365,153182,157954,167839,0,0,0
Gorshalachs Legacy,0,94129,99471,97552,104529,105955,113173,114549,116847,121490,123613,127710,133438,138349,137748,138619,0,0,0
Aman'Thuls Vision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239556
Infernal Alchemist Stone,0,0,0,0,0,110319,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiljaedens Burning Wish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221016
Shadow Singed Fang,0,84304,87889,84516,90718,102488,102711,104784,108105,113105,115747,119645,122729,131450,134645,140460,0,0,0
Aman'Thul's Vision 15-Pantheon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293398
